,0
minecraft:interact_with_smithing_table,4
minecraft:interact_with_furnace,9
minecraft:mob_kills,14
minecraft:interact_with_crafting_table,12
minecraft:interact_with_cartography_table,1
minecraft:play_one_minute,68365
minecraft:interact_with_grindstone,1
minecraft:leave_game,6
minecraft:time_since_death,68365
minecraft:sleep_in_bed,5
minecraft:time_since_rest,12228
minecraft:sprint_one_cm,184120
minecraft:damage_taken,360
minecraft:walk_one_cm,214328
minecraft:drop,2
minecraft:damage_dealt,1297
minecraft:swim_one_cm,42254
minecraft:talked_to_villager,17
minecraft:fly_one_cm,297120
minecraft:open_chest,58
minecraft:crouch_one_cm,1570
minecraft:sneak_time,587
minecraft:walk_under_water_one_cm,9705
minecraft:boat_one_cm,96806
minecraft:jump,1201
minecraft:walk_on_water_one_cm,7189
minecraft:fall_one_cm,31243
minecraft:horse_one_cm,240165
