,0
minecraft:cut_sandstone,12
minecraft:stone_pressure_plate,1
minecraft:orange_terracotta,1
minecraft:polished_granite,1
minecraft:crafting_table,2
minecraft:acacia_log,1
minecraft:grass_block,3
minecraft:melon,10
minecraft:chest,9
minecraft:tall_grass,2
minecraft:cobblestone,1
minecraft:lapis_ore,1
minecraft:sugar_cane,39
minecraft:cartography_table,1
minecraft:diorite,5
minecraft:sandstone,32
minecraft:furnace,5
minecraft:birch_log,26
minecraft:wheat,22
minecraft:chiseled_sandstone,1
minecraft:tnt,9
minecraft:grass,7
minecraft:oak_log,47
minecraft:beetroots,1
minecraft:dirt,4
minecraft:sand,13
minecraft:stone,16
minecraft:oak_leaves,5
minecraft:orange_bed,4
