,0
minecraft:stone_pickaxe,67
minecraft:oak_planks,1
minecraft:chest,2
minecraft:wooden_pickaxe,19
minecraft:sandstone,3
minecraft:cut_sandstone,9
minecraft:rotten_flesh,1
minecraft:orange_bed,3
minecraft:torch,1
minecraft:sand,13
minecraft:dirt,1
minecraft:crafting_table,4
minecraft:apple,3
minecraft:chiseled_sandstone,1
minecraft:bread,6
minecraft:polished_granite,1
minecraft:stone_axe,96
minecraft:cobblestone,2
minecraft:furnace,1
minecraft:beetroot_seeds,1
minecraft:oak_boat,1
minecraft:cooked_beef,3
