,0
minecraft:mob_kills,73
minecraft:interact_with_crafting_table,78
minecraft:leave_game,15
minecraft:time_since_death,46736
minecraft:climb_one_cm,67887
minecraft:sprint_one_cm,367607
minecraft:walk_one_cm,2991349
minecraft:drop,9
minecraft:talked_to_villager,1
minecraft:sneak_time,2529
minecraft:deaths,9
minecraft:walk_under_water_one_cm,100731
minecraft:jump,6934
minecraft:walk_on_water_one_cm,104779
minecraft:interact_with_furnace,93
minecraft:play_one_minute,637811
minecraft:pot_flower,2
minecraft:sleep_in_bed,30
minecraft:time_since_rest,7403
minecraft:damage_taken,4957
minecraft:damage_dealt,9533
minecraft:swim_one_cm,14461
minecraft:fly_one_cm,99352
minecraft:open_chest,106
minecraft:crouch_one_cm,3680
minecraft:fall_one_cm,86706
