,0
minecraft:wooden_axe,2
minecraft:crafting_table,3
minecraft:iron_chestplate,4
minecraft:chicken,15
minecraft:ladder,40
minecraft:flower_pot,2
minecraft:lead,1
minecraft:diamond_sword,1
minecraft:wooden_pickaxe,3
minecraft:string,16
minecraft:oak_trapdoor,5
minecraft:soul_soil,46
minecraft:wooden_sword,3
minecraft:iron_leggings,1
minecraft:oak_sign,6
minecraft:bucket,8
minecraft:beef,7
minecraft:wooden_shovel,4
minecraft:iron_pickaxe,3
minecraft:light_gray_wool,1
minecraft:sugar_cane,12
minecraft:chest,6
minecraft:furnace,2
minecraft:iron_boots,2
minecraft:egg,28
minecraft:stick,51
minecraft:stone,33
minecraft:oak_fence,3
minecraft:torch,112
minecraft:porkchop,28
minecraft:diorite,250
minecraft:redstone,123
minecraft:tnt,2
minecraft:stone_sword,2
minecraft:arrow,17
minecraft:rotten_flesh,41
minecraft:stone_shovel,2
minecraft:mutton,17
minecraft:white_wool,13
minecraft:cobblestone,3820
minecraft:birch_log,21
minecraft:feather,31
minecraft:cooked_beef,7
minecraft:andesite,399
minecraft:leather,7
minecraft:birch_planks,58
minecraft:flint,10
minecraft:oak_log,27
minecraft:gunpowder,2
minecraft:lapis_lazuli,336
minecraft:dirt,1195
minecraft:white_banner,3
minecraft:glass,9
minecraft:bone,14
minecraft:stone_bricks,56
minecraft:bow,3
minecraft:wheat_seeds,8
minecraft:iron_ingot,78
minecraft:stone_pickaxe,1
minecraft:cooked_chicken,4
minecraft:iron_ore,158
minecraft:iron_sword,5
minecraft:oak_planks,117
minecraft:cooked_porkchop,12
minecraft:gravel,105
minecraft:stripped_crimson_stem,3
minecraft:sand,371
minecraft:spruce_sapling,2
minecraft:ink_sac,22
minecraft:white_bed,3
minecraft:lily_of_the_valley,3
minecraft:gold_ore,4
minecraft:spider_eye,1
minecraft:diamond,10
minecraft:stone_axe,3
minecraft:iron_helmet,3
minecraft:granite,160
minecraft:crossbow,3
minecraft:spruce_sign,3
minecraft:coal,443
minecraft:ender_pearl,1
minecraft:diamond_pickaxe,1
