,0
minecraft:oak_trapdoor,4
minecraft:writable_book,1
minecraft:stone_sword,60
minecraft:iron_shovel,250
minecraft:stone_shovel,562
minecraft:ladder,24
minecraft:oak_sign,5
minecraft:chest,11
minecraft:iron_sword,167
minecraft:stone_hoe,91
minecraft:wooden_shovel,1
minecraft:cooked_chicken,8
minecraft:torch,200
minecraft:dirt,114
minecraft:granite,14
minecraft:glass,365
minecraft:stone_bricks,180
minecraft:furnace,3
minecraft:cooked_beef,3
minecraft:wheat_seeds,2
minecraft:cooked_mutton,5
minecraft:water_bucket,40
minecraft:stone_pickaxe,870
minecraft:oak_planks,17
minecraft:wooden_pickaxe,48
minecraft:crafting_table,4
minecraft:white_bed,4
minecraft:flower_pot,2
minecraft:diamond_pickaxe,23
minecraft:chicken,3
minecraft:iron_pickaxe,2257
minecraft:gravel,2
minecraft:stone_axe,71
minecraft:diamond_sword,64
minecraft:wooden_sword,2
minecraft:cobblestone,258
minecraft:porkchop,3
minecraft:cooked_porkchop,16
minecraft:andesite,1
minecraft:bucket,40
minecraft:lapis_block,17
