,0
minecraft:animals_bred,25
minecraft:interact_with_crafting_table,153
minecraft:open_barrel,9
minecraft:leave_game,11
minecraft:time_since_death,213237
minecraft:sprint_one_cm,2492830
minecraft:drop,36
minecraft:talked_to_villager,10
minecraft:deaths,10
minecraft:jump,22491
minecraft:interact_with_brewingstand,12
minecraft:walk_on_water_one_cm,264274
minecraft:enchant_item,5
minecraft:interact_with_furnace,281
minecraft:interact_with_cartography_table,1
minecraft:play_one_minute,922553
minecraft:sleep_in_bed,11
minecraft:damage_dealt,42125
minecraft:crouch_one_cm,74448
minecraft:horse_one_cm,49996
minecraft:mob_kills,282
minecraft:inspect_hopper,4
minecraft:climb_one_cm,10293
minecraft:walk_one_cm,1902047
minecraft:sneak_time,22685
minecraft:walk_under_water_one_cm,69709
minecraft:boat_one_cm,638392
minecraft:interact_with_grindstone,1
minecraft:time_since_rest,72139
minecraft:damage_taken,12256
minecraft:swim_one_cm,347887
minecraft:fly_one_cm,3166827
minecraft:open_chest,778
minecraft:fish_caught,2
minecraft:fall_one_cm,379637
