Type:,0
minecraft:birch_door,10
minecraft:wheat,68
minecraft:nether_brick_fence,6
minecraft:lead,7
minecraft:golden_shovel,1
minecraft:string,15
minecraft:pufferfish,1
minecraft:beetroot,1
minecraft:gold_nugget,87
minecraft:furnace,4
minecraft:stick,31
minecraft:oak_fence,5
minecraft:torch,136
minecraft:green_bed,1
minecraft:diorite,98
minecraft:golden_chestplate,4
minecraft:stone_sword,3
minecraft:rotten_flesh,51
minecraft:tropical_fish,1
minecraft:blaze_rod,15
minecraft:obsidian,28
minecraft:cobblestone,4066
minecraft:birch_log,32
minecraft:enchanting_table,1
minecraft:birch_slab,18
minecraft:andesite,179
minecraft:flint,3
minecraft:dirt,857
minecraft:lapis_lazuli,119
minecraft:bone,53
minecraft:bow,6
minecraft:wheat_seeds,200
minecraft:grindstone,2
minecraft:oak_planks,8
minecraft:sand,119
minecraft:ink_sac,3
minecraft:grass_block,3
minecraft:cyan_bed,1
minecraft:chiseled_sandstone,1
minecraft:dark_oak_log,20
minecraft:sugar,2
minecraft:diamond,70
minecraft:granite,128
minecraft:bone_meal,6
minecraft:golden_horse_armor,2
minecraft:bread,96
minecraft:oak_sapling,26
minecraft:netherrack,63
minecraft:crafting_table,13
minecraft:nether_wart,183
minecraft:wooden_pickaxe,1
minecraft:gold_block,1
minecraft:oak_trapdoor,4
minecraft:flint_and_steel,6
minecraft:beef,128
minecraft:poppy,1
minecraft:chest,7
minecraft:sugar_cane,407
minecraft:birch_sapling,4
minecraft:egg,10
minecraft:dark_oak_sapling,6
minecraft:sandstone,17
minecraft:carrot,1
minecraft:redstone,760
minecraft:stone_pressure_plate,2
minecraft:tnt,26
minecraft:arrow,61
minecraft:beetroot_seeds,8
minecraft:nether_bricks,30
minecraft:hay_block,81
minecraft:saddle,10
minecraft:gold_ingot,6
minecraft:white_wool,5
minecraft:dark_oak_button,1
minecraft:salmon,35
minecraft:cut_sandstone,14
minecraft:leather,63
minecraft:oak_log,99
minecraft:lily_pad,2
minecraft:nether_wart_block,9
minecraft:gunpowder,9
minecraft:apple,4
minecraft:rabbit_hide,2
minecraft:iron_ingot,12
minecraft:stone_pickaxe,3
minecraft:iron_ore,548
minecraft:glass_bottle,1
minecraft:iron_sword,1
minecraft:book,6
minecraft:oak_slab,13
minecraft:gravel,75
minecraft:gold_ore,57
minecraft:spider_eye,5
minecraft:pumpkin_seeds,6
minecraft:melon_seeds,4
minecraft:coal,656
minecraft:hopper,1
minecraft:ender_pearl,2
