,0
minecraft:iron_shovel,600
minecraft:oak_sign,6
minecraft:chest,11
minecraft:stone,287
minecraft:iron_sword,479
minecraft:rotten_flesh,1
minecraft:obsidian,2
minecraft:lava_bucket,11
minecraft:birch_sapling,1
minecraft:golden_sword,47
minecraft:bow,14
minecraft:furnace,7
minecraft:oak_sapling,4
minecraft:beetroot_seeds,1
minecraft:egg,9
minecraft:diorite,47
minecraft:stone_pickaxe,875
minecraft:oak_planks,19
minecraft:wooden_pickaxe,85
minecraft:sandstone,1
minecraft:sugar_cane,33
minecraft:dark_oak_trapdoor,1
minecraft:golden_hoe,32
minecraft:sand,1
minecraft:chiseled_sandstone,1
minecraft:dark_oak_log,1
minecraft:cyan_bed,1
minecraft:bread,232
minecraft:gravel,4
minecraft:diamond_sword,67
minecraft:grindstone,1
minecraft:andesite,100
minecraft:oak_boat,2
minecraft:bone_meal,71
minecraft:oak_trapdoor,5
minecraft:oak_fence,23
minecraft:enchanting_table,2
minecraft:stone_sword,137
minecraft:flint_and_steel,3
minecraft:stone_shovel,128
minecraft:cooked_salmon,18
minecraft:netherrack,6
minecraft:torch,915
minecraft:brewing_stand,1
minecraft:dirt,670
minecraft:anvil,3
minecraft:hopper,3
minecraft:granite,89
minecraft:birch_door,6
minecraft:iron_hoe,74
minecraft:bookshelf,17
minecraft:iron_axe,227
minecraft:beef,3
minecraft:cooked_beef,37
minecraft:wheat_seeds,92
minecraft:water_bucket,53
minecraft:iron_ore,1
minecraft:birch_planks,6
minecraft:glass_bottle,7
minecraft:cut_sandstone,8
minecraft:green_bed,1
minecraft:tnt,9
minecraft:crafting_table,18
minecraft:white_bed,1
minecraft:diamond_pickaxe,814
minecraft:apple,1
minecraft:iron_pickaxe,3535
minecraft:stone_axe,49
minecraft:fishing_rod,2
minecraft:cobblestone,831
minecraft:bucket,65
