,0
minecraft:oak_planks,148
minecraft:cobblestone_slab,12
minecraft:furnace,3
minecraft:iron_boots,1
minecraft:bow,1
minecraft:polished_diorite,56
minecraft:iron_axe,1
minecraft:ladder,87
minecraft:stone_pickaxe,1
minecraft:chest,4
minecraft:diamond_sword,1
minecraft:arrow,16
minecraft:crafting_table,3
minecraft:baked_potato,32
minecraft:iron_helmet,1
minecraft:iron_sword,1
minecraft:bowl,4
minecraft:bucket,1
minecraft:birch_planks,100
minecraft:stone_axe,1
minecraft:air,0
minecraft:oak_boat,1
minecraft:iron_chestplate,1
minecraft:diamond_pickaxe,1
minecraft:shield,1
minecraft:stick,268
minecraft:iron_ingot,185
minecraft:iron_pickaxe,10
minecraft:stone_sword,1
minecraft:iron_leggings,1
minecraft:iron_shovel,1
minecraft:gold_ingot,14
minecraft:acacia_planks,4
minecraft:torch,96
minecraft:beetroot_soup,4
minecraft:shears,1
