,0
minecraft:mob_kills,28
minecraft:interact_with_crafting_table,50
minecraft:leave_game,3
minecraft:time_since_death,209551
minecraft:climb_one_cm,41605
minecraft:sprint_one_cm,13669
minecraft:walk_one_cm,1312985
minecraft:damage_blocked_by_shield,540
minecraft:drop,7
minecraft:deaths,6
minecraft:sneak_time,16972
minecraft:walk_under_water_one_cm,13521
minecraft:boat_one_cm,211907
minecraft:jump,1059
minecraft:walk_on_water_one_cm,25774
minecraft:interact_with_furnace,36
minecraft:play_one_minute,252775
minecraft:time_since_rest,209583
minecraft:open_enderchest,1
minecraft:damage_taken,2629
minecraft:damage_dealt,4695
minecraft:swim_one_cm,20834
minecraft:fly_one_cm,35330
minecraft:open_chest,91
minecraft:crouch_one_cm,19815
minecraft:fall_one_cm,10116
