,0
minecraft:diamond_ore,15
minecraft:obsidian,10
minecraft:ladder,2
minecraft:granite,77
minecraft:acacia_log,2
minecraft:oxeye_daisy,1
minecraft:redstone_ore,52
minecraft:carrots,40
minecraft:iron_ore,210
minecraft:andesite,87
minecraft:cobblestone_slab,1
minecraft:rail,15
minecraft:stone,1869
minecraft:acacia_leaves,6
minecraft:oak_fence,62
minecraft:crafting_table,1
minecraft:torch,1
minecraft:poppy,4
minecraft:tall_grass,1
minecraft:cobblestone,33
minecraft:lapis_ore,11
minecraft:sugar_cane,19
minecraft:oak_planks,63
minecraft:diorite,137
minecraft:wall_torch,3
minecraft:birch_log,107
minecraft:birch_leaves,3
minecraft:grass,6
minecraft:oak_log,37
minecraft:coal_ore,504
minecraft:beetroots,31
minecraft:gravel,70
minecraft:sand,2
minecraft:dirt,77
minecraft:cobweb,56
minecraft:gold_ore,14
minecraft:oak_leaves,8
