Type:,0
minecraft:oak_planks,320
minecraft:oak_sign,6
minecraft:blaze_powder,2
minecraft:birch_slab,24
minecraft:stone,287
minecraft:bookshelf,17
minecraft:hopper,2
minecraft:glass,93
minecraft:diamond_helmet,1
minecraft:bow,3
minecraft:diamond_leggings,1
minecraft:iron_boots,2
minecraft:chest,9
minecraft:birch_door,3
minecraft:oak_fence,18
minecraft:golden_boots,2
minecraft:glass_bottle,6
minecraft:oak_slab,30
minecraft:crafting_table,7
minecraft:wooden_pickaxe,3
minecraft:iron_helmet,1
minecraft:brewing_stand,1
minecraft:hay_block,46
minecraft:birch_planks,112
minecraft:iron_chestplate,2
minecraft:book,46
minecraft:paper,138
minecraft:diamond_pickaxe,3
minecraft:stick,308
minecraft:iron_ingot,285
minecraft:iron_pickaxe,18
minecraft:iron_block,9
minecraft:stone_sword,2
minecraft:gold_ingot,32
minecraft:shears,1
minecraft:stone_shovel,2
minecraft:fishing_rod,1
minecraft:furnace,4
minecraft:dark_oak_trapdoor,2
minecraft:bone_meal,66
minecraft:oak_trapdoor,4
minecraft:flint_and_steel,1
minecraft:dark_oak_fence,6
minecraft:iron_axe,2
minecraft:iron_hoe,1
minecraft:stone_pickaxe,9
minecraft:diamond_boots,2
minecraft:redstone_block,54
minecraft:dark_oak_planks,76
minecraft:wheat,1143
minecraft:cooked_beef,125
minecraft:sugar,45
minecraft:diamond_sword,1
minecraft:enchanting_table,1
minecraft:iron_sword,4
minecraft:cooked_salmon,33
minecraft:bucket,3
minecraft:stone_axe,2
minecraft:bread,226
minecraft:air,0
minecraft:oak_boat,3
minecraft:iron_shovel,3
minecraft:iron_leggings,3
minecraft:anvil,3
minecraft:white_bed,1
minecraft:torch,880
minecraft:diamond_chestplate,1
