Type:,0
minecraft:mob_kills,126
minecraft:animals_bred,1
minecraft:interact_with_crafting_table,46
minecraft:bell_ring,94
minecraft:leave_game,27
minecraft:time_since_death,79535
minecraft:climb_one_cm,38463
minecraft:sprint_one_cm,1043068
minecraft:walk_one_cm,1849251
minecraft:damage_blocked_by_shield,2225
minecraft:drop,124
minecraft:deaths,6
minecraft:sneak_time,96334
minecraft:walk_under_water_one_cm,17072
minecraft:interact_with_brewingstand,3
minecraft:jump,7316
minecraft:interact_with_blast_furnace,2
minecraft:walk_on_water_one_cm,43182
minecraft:interact_with_furnace,105
minecraft:interact_with_cartography_table,2
minecraft:play_one_minute,513149
minecraft:pot_flower,2
minecraft:interact_with_stonecutter,1
minecraft:interact_with_grindstone,5
minecraft:sleep_in_bed,6
minecraft:time_since_rest,14900
minecraft:damage_taken,5644
minecraft:damage_dealt,22041
minecraft:minecart_one_cm,151516
minecraft:player_kills,2
minecraft:swim_one_cm,34190
minecraft:fly_one_cm,1266082
minecraft:open_chest,387
minecraft:crouch_one_cm,272659
minecraft:interact_with_smoker,2
minecraft:fall_one_cm,190522
