Type:,0
minecraft:iron_shovel,2462
minecraft:chest,46
minecraft:iron_sword,279
minecraft:mutton,22
minecraft:brick_slab,3
minecraft:carrot,12
minecraft:milk_bucket,5
minecraft:glass,23
minecraft:bricks,175
minecraft:sweet_berries,8
minecraft:furnace,16
minecraft:cooked_cod,106
minecraft:egg,1
minecraft:diorite,15
minecraft:stone_pickaxe,1524
minecraft:oak_planks,1866
minecraft:wooden_pickaxe,321
minecraft:white_wool,9
minecraft:golden_apple,1
minecraft:sand,27
minecraft:bread,10
minecraft:melon_slice,2
minecraft:brown_wool,1
minecraft:pufferfish,1
minecraft:wooden_sword,112
minecraft:andesite,17
minecraft:birch_log,4
minecraft:oak_boat,2
minecraft:oak_fence,82
minecraft:stone_sword,450
minecraft:acacia_log,4
minecraft:stone_shovel,2046
minecraft:redstone,1
minecraft:wooden_shovel,5
minecraft:cooked_salmon,44
minecraft:cooked_chicken,3
minecraft:oak_door,12
minecraft:torch,328
minecraft:dirt,2689
minecraft:granite,23
minecraft:oak_fence_gate,6
minecraft:wooden_axe,211
minecraft:iron_axe,1340
minecraft:oak_stairs,330
minecraft:brick_stairs,94
minecraft:beef,15
minecraft:minecart,1
minecraft:cooked_beef,7
minecraft:cooked_mutton,3
minecraft:acacia_boat,4
minecraft:water_bucket,27
minecraft:birch_planks,390
minecraft:birch_boat,4
minecraft:oak_slab,188
minecraft:crafting_table,48
minecraft:white_bed,12
minecraft:campfire,23
minecraft:cod,1
minecraft:oak_log,1058
minecraft:apple,31
minecraft:chicken,5
minecraft:iron_pickaxe,4575
minecraft:stone_axe,2093
minecraft:fishing_rod,157
minecraft:cobblestone,254
minecraft:porkchop,22
minecraft:cooked_porkchop,20
minecraft:bucket,28
minecraft:pumpkin_pie,1
minecraft:stripped_oak_log,56
