Type:,0
minecraft:interact_with_crafting_table,671
minecraft:open_barrel,2451
minecraft:leave_game,68
minecraft:time_since_death,268941
minecraft:deaths,69
minecraft:jump,23780
minecraft:interact_with_furnace,560
minecraft:sleep_in_bed,91
minecraft:damage_dealt,77423
minecraft:interact_with_smoker,137
minecraft:horse_one_cm,1510366
minecraft:interact_with_anvil,3
minecraft:inspect_hopper,12
minecraft:sneak_time,51077
minecraft:time_since_rest,29075
minecraft:swim_one_cm,19661
minecraft:fly_one_cm,2219523
minecraft:open_chest,761
minecraft:fall_one_cm,323672
minecraft:animals_bred,7
minecraft:sprint_one_cm,5110833
minecraft:drop,585
minecraft:talked_to_villager,3
minecraft:walk_on_water_one_cm,618265
minecraft:play_one_minute,4325824
minecraft:crouch_one_cm,100674
minecraft:mob_kills,543
minecraft:climb_one_cm,46158
minecraft:walk_one_cm,19263256
minecraft:walk_under_water_one_cm,257505
minecraft:boat_one_cm,66223
minecraft:pot_flower,34
minecraft:damage_taken,36008
