Type:,0
minecraft:animals_bred,177
minecraft:interact_with_crafting_table,279
minecraft:open_barrel,42
minecraft:bell_ring,2061
minecraft:leave_game,45
minecraft:time_since_death,1445434
minecraft:sprint_one_cm,8892275
minecraft:damage_blocked_by_shield,1283
minecraft:drop,574
minecraft:talked_to_villager,825
minecraft:deaths,16
minecraft:jump,44342
minecraft:interact_with_brewingstand,2
minecraft:walk_on_water_one_cm,254999
minecraft:enchant_item,11
minecraft:interact_with_furnace,234
minecraft:play_record,2
minecraft:traded_with_villager,3485
minecraft:interact_with_cartography_table,2
minecraft:play_one_minute,3229212
minecraft:sleep_in_bed,72
minecraft:damage_dealt,38582
minecraft:player_kills,2
minecraft:crouch_one_cm,501674
minecraft:interact_with_smoker,7
minecraft:interact_with_smithing_table,3
minecraft:horse_one_cm,1497932
minecraft:interact_with_anvil,31
minecraft:mob_kills,248
minecraft:climb_one_cm,499022
minecraft:walk_one_cm,8937632
minecraft:sneak_time,177129
minecraft:walk_under_water_one_cm,426396
minecraft:boat_one_cm,2109377
minecraft:pot_flower,6
minecraft:interact_with_grindstone,2
minecraft:interact_with_stonecutter,4
minecraft:time_since_rest,33825
minecraft:damage_taken,22555
minecraft:minecart_one_cm,239194
minecraft:swim_one_cm,539739
minecraft:fly_one_cm,7520242
minecraft:open_chest,1425
minecraft:fall_one_cm,868262
