Type:,0
minecraft:iron_chestplate,1
minecraft:anvil,2
minecraft:lead,93
minecraft:enchanted_book,5
minecraft:brewing_stand,4
minecraft:golden_sword,2
minecraft:string,328
minecraft:dark_oak_trapdoor,3
minecraft:soul_soil,69
minecraft:cooked_salmon,9
minecraft:shroomlight,5
minecraft:beetroot,50
minecraft:gold_nugget,1995
minecraft:crimson_fence,6
minecraft:spruce_planks,191
minecraft:melon_slice,67
minecraft:golden_helmet,2
minecraft:composter,1
minecraft:acacia_log,18
minecraft:golden_axe,1
minecraft:cauldron,1
minecraft:black_dye,4
minecraft:orange_bed,1
minecraft:stone_sword,1
minecraft:carved_pumpkin,1
minecraft:glowstone,2
minecraft:blaze_rod,25
minecraft:iron_bars,52
minecraft:snowball,13
minecraft:birch_log,105
minecraft:magma_block,2
minecraft:feather,523
minecraft:cooked_beef,24
minecraft:birch_slab,1
minecraft:water_bucket,4
minecraft:jungle_log,44
minecraft:smoker,11
minecraft:flint,102
minecraft:lantern,29
minecraft:purple_carpet,1
minecraft:glowstone_dust,215
minecraft:stripped_crimson_stem,1
minecraft:stripped_spruce_log,6
minecraft:ink_sac,31
minecraft:granite_slab,1
minecraft:dark_oak_log,370
minecraft:barrel,28
minecraft:iron_hoe,2
minecraft:polished_andesite,3
minecraft:granite,837
minecraft:spruce_button,1
minecraft:bread,10
minecraft:light_gray_carpet,1
minecraft:bricks,26
minecraft:crimson_roots,16
minecraft:diamond_pickaxe,2
minecraft:crafting_table,85
minecraft:nether_wart,360
minecraft:clay_ball,3084
minecraft:leather_leggings,1
minecraft:cornflower,2
minecraft:red_bed,25
minecraft:flint_and_steel,2
minecraft:white_carpet,5
minecraft:iron_shovel,1
minecraft:glass_pane,6
minecraft:cracked_stone_bricks,29
minecraft:beef,334
minecraft:jungle_sapling,4
minecraft:iron_nugget,112
minecraft:poppy,23
minecraft:spruce_slab,45
minecraft:quartz_stairs,12
minecraft:chest,25
minecraft:birch_sapling,6
minecraft:egg,1301
minecraft:stone,5
minecraft:oak_door,1
minecraft:spruce_fence,12
minecraft:fire_charge,30
minecraft:carrot,1078
minecraft:redstone,1282
minecraft:tnt,2
minecraft:stone_shovel,3
minecraft:beetroot_seeds,145
minecraft:peony,5
minecraft:hay_block,11
minecraft:gold_ingot,99
minecraft:mutton,20
minecraft:white_wool,849
minecraft:bone_block,116
minecraft:rail,4
minecraft:oxeye_daisy,21
minecraft:stripped_oak_log,5
minecraft:birch_leaves,3
minecraft:red_mushroom,36
minecraft:oak_log,1117
minecraft:ancient_debris,33
minecraft:lily_pad,31
minecraft:golden_boots,2
minecraft:paper,18
minecraft:white_banner,18
minecraft:apple,22
minecraft:stone_bricks,154
minecraft:kelp,9
minecraft:stone_pickaxe,2
minecraft:iron_ore,1066
minecraft:sweet_berries,136
minecraft:gravel,1185
minecraft:spruce_sapling,176
minecraft:spruce_log,970
minecraft:crying_obsidian,29
minecraft:polished_diorite,5
minecraft:diamond_axe,2
minecraft:brown_banner,4
minecraft:melon_seeds,18
minecraft:ender_pearl,9
minecraft:wheat,1099
minecraft:redstone_block,60
minecraft:nether_brick_fence,3
minecraft:potion,3
minecraft:gilded_blackstone,39
minecraft:nether_brick,74
minecraft:stone_brick_stairs,14
minecraft:lapis_block,18
minecraft:iron_leggings,1
minecraft:oak_sign,2
minecraft:bucket,1
minecraft:rose_bush,6
minecraft:iron_pickaxe,4
minecraft:iron_boots,3
minecraft:furnace,38
minecraft:tipped_arrow,9
minecraft:stick,263
minecraft:acacia_fence,1
minecraft:oak_fence,121
minecraft:torch,82
minecraft:spruce_stairs,46
minecraft:porkchop,47
minecraft:diorite,451
minecraft:quartz_block,77
minecraft:nether_gold_ore,15
minecraft:cactus,27
minecraft:rotten_flesh,971
minecraft:obsidian,54
minecraft:cobblestone,7501
minecraft:enchanting_table,5
minecraft:lilac,16
minecraft:magma_cream,32
minecraft:andesite,467
minecraft:potato,3956
minecraft:smooth_sandstone_stairs,2
minecraft:lapis_lazuli,869
minecraft:dirt,7000
minecraft:stripped_birch_log,1
minecraft:glass,27
minecraft:bone,430
minecraft:granite_wall,5
minecraft:bow,18
minecraft:wheat_seeds,4355
minecraft:orange_tulip,4
minecraft:crimson_fence_gate,2
minecraft:bell,1
minecraft:birch_wood,3
minecraft:bamboo,69
minecraft:oak_planks,41
minecraft:ghast_tear,7
minecraft:cooked_porkchop,1
minecraft:sand,1935
minecraft:poisonous_potato,24
minecraft:black_stained_glass_pane,28
minecraft:jungle_planks,2
minecraft:dead_bush,1
minecraft:spectral_arrow,148
minecraft:mossy_cobblestone,3
minecraft:spruce_fence_gate,20
minecraft:diamond,226
minecraft:cracked_polished_blackstone_bricks,83
minecraft:crossbow,5
minecraft:grass,15
minecraft:bone_meal,35
