,0
minecraft:gold_ore,9
minecraft:iron_ingot,25
minecraft:iron_sword,1
minecraft:wheat_seeds,50
minecraft:golden_helmet,1
minecraft:oak_log,1
minecraft:diamond,6
minecraft:minecart,1
minecraft:crafting_table,2
minecraft:oak_fence,2
minecraft:iron_helmet,2
minecraft:cobblestone,489
minecraft:leather,4
minecraft:granite,5
minecraft:rail,3
minecraft:red_mushroom,2
minecraft:stick,2
minecraft:dirt,13
minecraft:diorite,37
minecraft:torch,32
minecraft:melon_slice,56
minecraft:iron_leggings,1
minecraft:gold_nugget,23
minecraft:pumpkin,14
minecraft:iron_axe,1
minecraft:iron_pickaxe,4
minecraft:string,3
minecraft:bone,8
minecraft:gravel,40
minecraft:stone_axe,1
minecraft:sugar_cane,36
minecraft:golden_chestplate,1
minecraft:wheat,2
minecraft:rotten_flesh,24
minecraft:oak_planks,9
minecraft:filled_map,1
minecraft:shield,1
minecraft:iron_chestplate,1
minecraft:andesite,58
minecraft:melon_seeds,3
minecraft:oak_sapling,3
minecraft:spider_eye,8
minecraft:beef,1
minecraft:stone_pickaxe,1
minecraft:wooden_pickaxe,1
