,0
minecraft:nether_gold_ore,5
minecraft:diamond_ore,2
minecraft:potted_cactus,1
minecraft:nether_bricks,39
minecraft:granite,85
minecraft:acacia_log,15
minecraft:grass_block,20
minecraft:crimson_roots,1
minecraft:spruce_leaves,1
minecraft:red_mushroom,4
minecraft:cartography_table,2
minecraft:sandstone,36
minecraft:hay_block,7
minecraft:redstone_ore,67
minecraft:glowstone,8
minecraft:furnace,1
minecraft:iron_ore,305
minecraft:fire,1
minecraft:andesite,172
minecraft:pumpkin,7
minecraft:shroomlight,1
minecraft:rail,37
minecraft:bamboo,2
minecraft:stone,1846
minecraft:orange_bed,3
minecraft:acacia_leaves,1
minecraft:oak_fence,6
minecraft:crafting_table,8
minecraft:torch,6
minecraft:poppy,4
minecraft:melon,113
minecraft:chest,2
minecraft:tall_grass,5
minecraft:cobblestone,46
minecraft:lapis_ore,12
minecraft:oak_planks,29
minecraft:sugar_cane,5
minecraft:diorite,95
minecraft:seagrass,1
minecraft:birch_planks,5
minecraft:birch_log,3
minecraft:wheat,19
minecraft:birch_leaves,16
minecraft:grass,23
minecraft:oak_log,4
minecraft:coal_ore,92
minecraft:cocoa,12
minecraft:gravel,30
minecraft:dirt,16
minecraft:sand,11
minecraft:cobweb,47
minecraft:netherrack,57
minecraft:gold_ore,20
minecraft:oak_leaves,49
minecraft:fern,1
