,0
minecraft:cocoa_beans,30
minecraft:iron_chestplate,5
minecraft:crafting_table,13
minecraft:wheat,9
minecraft:flower_pot,3
minecraft:wooden_pickaxe,1
minecraft:enchanted_book,1
minecraft:shield,2
minecraft:string,63
minecraft:iron_axe,1
minecraft:iron_leggings,5
minecraft:iron_shovel,1
minecraft:experience_bottle,1
minecraft:shroomlight,3
minecraft:oak_sign,1
minecraft:cartography_table,2
minecraft:gold_nugget,69
minecraft:beef,7
minecraft:poppy,6
minecraft:iron_pickaxe,6
minecraft:minecart,4
minecraft:melon_slice,946
minecraft:sugar_cane,60
minecraft:chest,7
minecraft:furnace,2
minecraft:iron_boots,4
minecraft:egg,18
minecraft:stick,16
minecraft:sandstone,60
minecraft:oak_fence,4
minecraft:torch,57
minecraft:acacia_log,16
minecraft:porkchop,22
minecraft:diorite,61
minecraft:redstone,300
minecraft:golden_chestplate,1
minecraft:orange_bed,3
minecraft:arrow,65
minecraft:cactus,4
minecraft:rotten_flesh,51
minecraft:nether_bricks,46
minecraft:hay_block,6
minecraft:saddle,1
minecraft:gold_ingot,10
minecraft:blaze_rod,18
minecraft:mutton,8
minecraft:rail,43
minecraft:white_wool,6
minecraft:cobblestone,2122
minecraft:birch_log,40
minecraft:andesite,154
minecraft:leather,4
minecraft:red_mushroom,5
minecraft:filled_map,1
minecraft:birch_planks,15
minecraft:flint,2
minecraft:oak_log,70
minecraft:gunpowder,4
minecraft:lapis_lazuli,91
minecraft:dirt,68
minecraft:cooked_mutton,1
minecraft:bone,30
minecraft:wheat_seeds,85
minecraft:iron_ingot,11
minecraft:stone_pickaxe,1
minecraft:cooked_chicken,2
minecraft:iron_ore,312
minecraft:glowstone_dust,22
minecraft:bamboo,20
minecraft:iron_sword,7
minecraft:oak_planks,46
minecraft:acacia_sapling,2
minecraft:cooked_porkchop,12
minecraft:pumpkin,42
minecraft:dandelion,1
minecraft:gravel,41
minecraft:sand,20
minecraft:gold_ore,29
minecraft:spider_eye,16
minecraft:slime_ball,6
minecraft:diamond,8
minecraft:stone_axe,1
minecraft:iron_helmet,5
minecraft:granite,122
minecraft:bread,6
minecraft:oak_sapling,3
minecraft:netherrack,68
minecraft:melon_seeds,14
minecraft:coal,127
minecraft:crimson_roots,2
