,0
minecraft:interact_with_crafting_table,263
minecraft:bell_ring,94
minecraft:eat_cake_slice,2
minecraft:leave_game,56
minecraft:time_since_death,147995
minecraft:sprint_one_cm,3262728
minecraft:drop,119
minecraft:talked_to_villager,2
minecraft:deaths,20
minecraft:jump,16370
minecraft:interact_with_brewingstand,1
minecraft:walk_on_water_one_cm,309455
minecraft:interact_with_furnace,297
minecraft:play_one_minute,2762512
minecraft:sleep_in_bed,114
minecraft:damage_dealt,21343
minecraft:crouch_one_cm,809
minecraft:interact_with_smoker,1
minecraft:horse_one_cm,15247
minecraft:mob_kills,148
minecraft:climb_one_cm,127174
minecraft:walk_one_cm,6566728
minecraft:sneak_time,3037
minecraft:walk_under_water_one_cm,275575
minecraft:boat_one_cm,1592086
minecraft:time_since_rest,100961
minecraft:damage_taken,16323
minecraft:damage_absorbed,20
minecraft:minecart_one_cm,835
minecraft:swim_one_cm,115138
minecraft:fly_one_cm,398074
minecraft:open_chest,203
minecraft:fish_caught,101
minecraft:fall_one_cm,277127
