,0
minecraft:iron_sword,1
minecraft:porkchop,3
minecraft:oak_log,103
minecraft:crafting_table,1
minecraft:cooked_porkchop,7
minecraft:leather,3
minecraft:dirt,12
minecraft:cornflower,5
minecraft:mutton,1
minecraft:cooked_cod,1
minecraft:iron_pickaxe,2
minecraft:fishing_rod,3
minecraft:birch_log,18
minecraft:white_wool,4
minecraft:bone,9
minecraft:stone_axe,1
minecraft:rotten_flesh,11
minecraft:oak_planks,1
minecraft:azure_bluet,3
minecraft:poppy,2
minecraft:chest,1
minecraft:iron_ore,2
minecraft:arrow,1
minecraft:beef,2
minecraft:iron_ingot,1
minecraft:oak_slab,1
minecraft:wheat_seeds,8
minecraft:feather,1
minecraft:oak_fence,1
minecraft:cobblestone,15
minecraft:granite,1
minecraft:ink_sac,1
minecraft:wooden_axe,1
minecraft:cooked_salmon,4
minecraft:iron_axe,5
minecraft:bucket,2
minecraft:dandelion,2
minecraft:stone_sword,1
minecraft:stone,1
minecraft:andesite,13
minecraft:oak_sapling,2
minecraft:wooden_shovel,1
minecraft:stone_pickaxe,2
minecraft:wooden_pickaxe,1
minecraft:brick,1
