,0
minecraft:white_bed,11
minecraft:granite,232
minecraft:acacia_log,103
minecraft:grass_block,2171
minecraft:brown_wool,1
minecraft:oxeye_daisy,4
minecraft:tall_seagrass,11
minecraft:iron_ore,299
minecraft:pumpkin,1
minecraft:azure_bluet,2
minecraft:oak_stairs,183
minecraft:cut_sandstone,1
minecraft:kelp_plant,2
minecraft:orange_terracotta,2
minecraft:clay,249
minecraft:torch,3
minecraft:poppy,16
minecraft:chest,5
minecraft:dead_bush,33
minecraft:glass,11
minecraft:cobblestone,68
minecraft:sugar_cane,11
minecraft:oak_planks,903
minecraft:bricks,15
minecraft:wall_torch,19
minecraft:seagrass,6
minecraft:birch_log,227
minecraft:lilac,6
minecraft:grass,847
minecraft:oak_log,1937
minecraft:sand,379
minecraft:dirt,2828
minecraft:oak_leaves,744
minecraft:diamond_ore,8
minecraft:oak_door,10
minecraft:brick_stairs,12
minecraft:redstone_wire,1
minecraft:sandstone,29
minecraft:redstone_ore,93
minecraft:furnace,2
minecraft:chiseled_sandstone,1
minecraft:andesite,155
minecraft:peony,8
minecraft:stripped_oak_log,59
minecraft:stone,3612
minecraft:white_wool,6
minecraft:cake,1
minecraft:oak_slab,22
minecraft:acacia_leaves,12
minecraft:dandelion,14
minecraft:oak_fence,37
minecraft:crafting_table,28
minecraft:cornflower,5
minecraft:rose_bush,9
minecraft:campfire,2
minecraft:tall_grass,107
minecraft:lapis_ore,4
minecraft:lily_pad,3
minecraft:diorite,228
minecraft:birch_planks,38
minecraft:brick_slab,1
minecraft:birch_leaves,59
minecraft:grass_path,2
minecraft:coal_ore,1242
minecraft:gravel,67
minecraft:gold_ore,44
