,0
minecraft:wooden_axe,6
minecraft:iron_chestplate,10
minecraft:wheat,2
minecraft:oak_stairs,385
minecraft:potion,2
minecraft:string,49
minecraft:cooked_salmon,32
minecraft:iron_leggings,10
minecraft:pufferfish,24
minecraft:bucket,3
minecraft:wooden_shovel,2
minecraft:iron_pickaxe,8
minecraft:melon_slice,22
minecraft:iron_boots,4
minecraft:furnace,4
minecraft:stick,693
minecraft:oak_fence,61
minecraft:torch,203
minecraft:acacia_log,101
minecraft:porkchop,48
minecraft:diorite,354
minecraft:stone_sword,5
minecraft:rotten_flesh,132
minecraft:tropical_fish,4
minecraft:cod,56
minecraft:cobblestone,6011
minecraft:birch_log,328
minecraft:lilac,13
minecraft:feather,15
minecraft:andesite,208
minecraft:brown_wool,2
minecraft:flint,15
minecraft:acacia_boat,3
minecraft:lapis_lazuli,30
minecraft:dirt,7469
minecraft:leather_boots,1
minecraft:glass,86
minecraft:bone,45
minecraft:acacia_planks,20
minecraft:wheat_seeds,284
minecraft:oak_planks,1077
minecraft:cooked_porkchop,12
minecraft:sand,367
minecraft:ink_sac,10
minecraft:diamond,8
minecraft:granite,384
minecraft:bread,17
minecraft:oak_sapling,393
minecraft:bricks,24
minecraft:fishing_rod,10
minecraft:charcoal,5
minecraft:crafting_table,31
minecraft:azure_bluet,12
minecraft:chicken,12
minecraft:clay_ball,992
minecraft:wooden_pickaxe,2
minecraft:brick,51
minecraft:cornflower,17
minecraft:iron_axe,7
minecraft:iron_shovel,4
minecraft:beef,30
minecraft:oak_boat,1
minecraft:poppy,49
minecraft:minecart,1
minecraft:chest,6
minecraft:sugar_cane,3
minecraft:birch_sapling,72
minecraft:egg,8
minecraft:sandstone,28
minecraft:stone,2
minecraft:oak_door,29
minecraft:carrot,20
minecraft:redstone,622
minecraft:arrow,61
minecraft:stone_shovel,1
minecraft:cooked_cod,47
minecraft:pumpkin_pie,1
minecraft:brick_stairs,26
minecraft:mutton,30
minecraft:white_wool,25
minecraft:rail,1
minecraft:oxeye_daisy,5
minecraft:stripped_oak_log,155
minecraft:tripwire_hook,5
minecraft:salmon,30
minecraft:leather,44
minecraft:birch_planks,67
minecraft:oak_log,2506
minecraft:lily_pad,4
minecraft:orange_terracotta,2
minecraft:apple,41
minecraft:kelp,4
minecraft:iron_ingot,91
minecraft:stone_pickaxe,5
minecraft:iron_ore,371
minecraft:iron_sword,6
minecraft:oak_slab,80
minecraft:pumpkin,3
minecraft:birch_boat,3
minecraft:sweet_berries,8
minecraft:dandelion,19
minecraft:gravel,73
minecraft:white_bed,13
minecraft:gold_ore,43
minecraft:spider_eye,13
minecraft:brick_slab,4
minecraft:stone_axe,5
minecraft:iron_helmet,6
minecraft:gray_wool,1
minecraft:coal,1956
