,0
minecraft:black_dye,4
minecraft:yellow_wool,2
minecraft:smooth_stone,6
minecraft:oak_sign,3
minecraft:chain,15
minecraft:birch_slab,18
minecraft:lever,1
minecraft:diamond_shovel,1
minecraft:bookshelf,9
minecraft:gray_wool,4
minecraft:cooked_mutton,8
minecraft:iron_bars,16
minecraft:glass,62
minecraft:repeater,1
minecraft:polished_blackstone,128
minecraft:birch_door,3
minecraft:magenta_dye,6
minecraft:gray_bed,2
minecraft:flower_pot,25
minecraft:cooked_porkchop,62
minecraft:diamond_axe,4
minecraft:golden_pickaxe,2
minecraft:sticky_piston,8
minecraft:campfire,55
minecraft:stone_brick_stairs,116
minecraft:stone_slab,12
minecraft:iron_pickaxe,33
minecraft:iron_block,3
minecraft:light_blue_bed,1
minecraft:gold_ingot,37
minecraft:light_gray_dye,1
minecraft:polished_blackstone_bricks,128
minecraft:stone_shovel,1
minecraft:smooth_stone_slab,6
minecraft:iron_nugget,504
minecraft:mossy_cobblestone_stairs,8
minecraft:bone_meal,441
minecraft:pink_dye,12
minecraft:stone_stairs,24
minecraft:lantern,56
minecraft:dark_oak_fence,60
minecraft:spruce_stairs,12
minecraft:ladder,24
minecraft:spruce_slab,30
minecraft:stone_pickaxe,6
minecraft:redstone_block,1
minecraft:dark_oak_planks,1480
minecraft:lead,4
minecraft:dark_oak_button,3
minecraft:orange_dye,6
minecraft:oak_fence_gate,5
minecraft:polished_blackstone_brick_wall,24
minecraft:oak_stairs,78
minecraft:writable_book,2
minecraft:iron_shovel,13
minecraft:iron_leggings,8
minecraft:armor_stand,5
minecraft:white_bed,2
minecraft:nether_brick_stairs,16
minecraft:blue_carpet,3
minecraft:brick,132
minecraft:oak_planks,1580
minecraft:cobblestone_slab,6
minecraft:barrel,44
minecraft:cobblestone_stairs,28
minecraft:stone,1481
minecraft:green_dye,2
minecraft:hopper,3
minecraft:stone_brick_slab,12
minecraft:nether_brick_wall,30
minecraft:iron_boots,6
minecraft:chest,70
minecraft:oak_button,6
minecraft:blue_concrete_powder,136
minecraft:stone_bricks,424
minecraft:oak_fence,159
minecraft:smoker,2
minecraft:oak_slab,120
minecraft:item_frame,9
minecraft:crafting_table,15
minecraft:spruce_planks,168
minecraft:iron_helmet,6
minecraft:birch_planks,1044
minecraft:dark_oak_slab,204
minecraft:book,15
minecraft:iron_chestplate,14
minecraft:paper,66
minecraft:diamond_pickaxe,3
minecraft:yellow_dye,11
minecraft:purple_dye,4
minecraft:birch_fence,63
minecraft:stick,1112
minecraft:light_blue_dye,2
minecraft:iron_ingot,508
minecraft:polished_blackstone_brick_stairs,76
minecraft:gray_carpet,3
minecraft:redstone_torch,10
minecraft:dark_oak_fence_gate,14
minecraft:green_carpet,3
minecraft:shears,6
minecraft:oak_door,6
minecraft:stone_brick_wall,18
minecraft:golden_chestplate,1
minecraft:furnace,14
minecraft:piston,8
minecraft:dark_oak_trapdoor,12
minecraft:gray_dye,8
minecraft:oak_trapdoor,58
minecraft:glass_pane,160
minecraft:flint_and_steel,2
minecraft:white_concrete_powder,352
minecraft:iron_axe,24
minecraft:birch_sign,33
minecraft:observer,2
minecraft:cooked_beef,31
minecraft:red_dye,10
minecraft:dark_oak_stairs,192
minecraft:yellow_carpet,3
minecraft:iron_sword,10
minecraft:cooked_salmon,101
minecraft:bucket,17
minecraft:stone_axe,5
minecraft:air,0
minecraft:blue_dye,77
minecraft:white_dye,90
minecraft:pink_stained_glass_pane,48
minecraft:blue_wool,2
minecraft:anvil,1
minecraft:green_wool,2
minecraft:torch,800
