Type:,0
minecraft:peony,5
minecraft:writable_book,8
minecraft:poppy,3
minecraft:ladder,19
minecraft:chest,119
minecraft:stone,1001
minecraft:rotten_flesh,2
minecraft:lily_of_the_valley,18
minecraft:azure_bluet,1
minecraft:stripped_spruce_log,1
minecraft:lava_bucket,4
minecraft:grass_block,2
minecraft:birch_sapling,24
minecraft:dark_oak_slab,206
minecraft:dark_oak_button,19
minecraft:stone_brick_stairs,200
minecraft:bow,3
minecraft:furnace,17
minecraft:oak_sapling,26
minecraft:egg,14
minecraft:potato,33
minecraft:diorite,19
minecraft:cactus,1
minecraft:orange_tulip,12
minecraft:oak_leaves,443
minecraft:dark_oak_trapdoor,15
minecraft:sand,1
minecraft:birch_fence,114
minecraft:lilac,9
minecraft:dark_oak_fence,113
minecraft:birch_log,1
minecraft:oak_trapdoor,73
minecraft:iron_bars,6
minecraft:armor_stand,8
minecraft:cooked_salmon,72
minecraft:netherrack,179
minecraft:orange_bed,7
minecraft:torch,621
minecraft:anvil,2
minecraft:stone_stairs,29
minecraft:blue_concrete,146
minecraft:nether_brick_stairs,16
minecraft:oak_fence_gate,5
minecraft:mossy_cobblestone_stairs,6
minecraft:iron_axe,3285
minecraft:barrel,69
minecraft:basalt,35
minecraft:glowstone,14
minecraft:beef,1
minecraft:observer,11
minecraft:wheat_seeds,3
minecraft:water_bucket,242
minecraft:nether_brick_wall,8
minecraft:birch_planks,48
minecraft:rabbit,1
minecraft:lead,3
minecraft:blue_concrete_powder,137
minecraft:polished_blackstone_bricks,86
minecraft:salmon,11
minecraft:mossy_cobblestone,25
minecraft:vine,118
minecraft:oak_slab,102
minecraft:crafting_table,41
minecraft:birch_sign,26
minecraft:campfire,50
minecraft:white_bed,4
minecraft:dark_oak_fence_gate,10
minecraft:spruce_log,36
minecraft:oak_log,14
minecraft:diamond_pickaxe,3103
minecraft:cornflower,15
minecraft:oxeye_daisy,11
minecraft:diamond_shovel,153
minecraft:acacia_sign,2
minecraft:sunflower,25
minecraft:iron_pickaxe,6125
minecraft:spruce_sapling,7
minecraft:crimson_sign,2
minecraft:green_carpet,5
minecraft:cobblestone,533
minecraft:porkchop,6
minecraft:cooked_porkchop,67
minecraft:glass_pane,76
minecraft:dandelion,9
minecraft:iron_shovel,2577
minecraft:oak_sign,26
minecraft:white_concrete_powder,344
minecraft:iron_sword,909
minecraft:grass,16
minecraft:mutton,1
minecraft:nether_bricks,73
minecraft:obsidian,59
minecraft:lantern,87
minecraft:blue_orchid,29
minecraft:polished_blackstone_brick_wall,32
minecraft:light_blue_bed,10
minecraft:stone_bricks,1908
minecraft:item_frame,10
minecraft:repeater,10
minecraft:gray_bed,2
minecraft:dark_oak_sapling,30
minecraft:dark_oak_stairs,274
minecraft:birch_leaves,72
minecraft:stone_pickaxe,361
minecraft:oak_planks,731
minecraft:redstone_block,11
minecraft:diamond_axe,2665
minecraft:white_wool,6
minecraft:stone_brick_wall,474
minecraft:shears,1022
minecraft:redstone_torch,75
minecraft:sticky_piston,40
minecraft:lever,2
minecraft:dark_oak_log,469
minecraft:melon_slice,26
minecraft:bread,9
minecraft:gravel,1
minecraft:andesite,120
minecraft:chain,24
minecraft:smooth_stone_slab,1
minecraft:white_concrete,246
minecraft:bone_meal,184
minecraft:golden_pickaxe,59
minecraft:oak_fence,207
minecraft:rose_bush,20
minecraft:flint_and_steel,7
minecraft:stone_shovel,141
minecraft:redstone,95
minecraft:spruce_planks,88
minecraft:oak_door,9
minecraft:dirt,4017
minecraft:hopper,5
minecraft:spruce_stairs,18
minecraft:granite,11
minecraft:birch_door,6
minecraft:stone_brick_slab,18
minecraft:dark_oak_planks,839
minecraft:red_tulip,2
minecraft:bookshelf,9
minecraft:oak_stairs,96
minecraft:polished_blackstone_brick_stairs,73
minecraft:soul_soil,13
minecraft:cooked_beef,45
minecraft:cooked_mutton,10
minecraft:cobblestone_stairs,22
minecraft:baked_potato,87
minecraft:spruce_sign,1
minecraft:cobblestone_slab,5
minecraft:stripped_dark_oak_log,130
minecraft:infested_stone_bricks,689
minecraft:smoker,6
minecraft:flower_pot,44
minecraft:apple,3
minecraft:stone_slab,14
minecraft:stone_axe,372
minecraft:bucket,263
