,0
minecraft:iron_sword,1
minecraft:soul_sand,55
minecraft:lapis_lazuli,1
minecraft:glass_bottle,2
minecraft:leather,19
minecraft:blackstone_stairs,1
minecraft:flint,2
minecraft:cracked_polished_blackstone_bricks,21
minecraft:dirt,129
minecraft:cooked_cod,1
minecraft:polished_blackstone_bricks,1
minecraft:dark_oak_planks,2
minecraft:fishing_rod,4
minecraft:gravel,383
minecraft:gold_ingot,139
minecraft:bone,7
minecraft:oak_door,1
minecraft:chiseled_polished_blackstone,4
minecraft:pink_dye,1
minecraft:birch_sapling,1
minecraft:rotten_flesh,25
minecraft:oak_planks,2
minecraft:poppy,2
minecraft:birch_door,2
minecraft:leather_boots,4
minecraft:basalt,38
minecraft:arrow,1
minecraft:quartz,10
minecraft:netherrack,192
minecraft:wheat_seeds,4
minecraft:golden_helmet,2
minecraft:oak_fence,4
minecraft:cobblestone,2724
minecraft:granite,46
minecraft:tropical_fish,2
minecraft:stick,3
minecraft:pufferfish,38
minecraft:diorite,42
minecraft:torch,1
minecraft:fire_charge,2
minecraft:iron_axe,2
minecraft:iron_shovel,1
minecraft:string,37
minecraft:lily_pad,4
minecraft:dandelion,2
minecraft:redstone,35
minecraft:soul_soil,18
minecraft:chicken,1
minecraft:light_blue_dye,1
minecraft:andesite,77
minecraft:spider_eye,1
minecraft:sandstone,1
minecraft:bow,4
