,0
minecraft:cave_spider,7
minecraft:witch,1
minecraft:spider,38
minecraft:skeleton,74
minecraft:chicken,5
minecraft:piglin_brute,4
minecraft:magma_cube,13
minecraft:piglin,7
minecraft:pig,5
minecraft:zombie_villager,1
minecraft:creeper,19
minecraft:sheep,7
minecraft:pillager,1
minecraft:zombie,77
minecraft:ghast,4
minecraft:blaze,15
minecraft:cow,8
minecraft:slime,38
minecraft:phantom,3
minecraft:drowned,13
minecraft:rabbit,1
minecraft:bat,1
minecraft:hoglin,4
minecraft:squid,1
minecraft:wither_skeleton,4
minecraft:enderman,8
