Type:,0
minecraft:interact_with_crafting_table,243
minecraft:leave_game,37
minecraft:time_since_death,362908
minecraft:sprint_one_cm,366300
minecraft:damage_blocked_by_shield,1280
minecraft:drop,495
minecraft:talked_to_villager,3
minecraft:deaths,31
minecraft:jump,16046
minecraft:walk_on_water_one_cm,401137
minecraft:enchant_item,2
minecraft:interact_with_furnace,264
minecraft:play_one_minute,1833891
minecraft:sleep_in_bed,19
minecraft:damage_dealt,55804
minecraft:crouch_one_cm,46324
minecraft:interact_with_smoker,25
minecraft:horse_one_cm,59935
minecraft:interact_with_anvil,24
minecraft:mob_kills,372
minecraft:climb_one_cm,4675
minecraft:walk_one_cm,8950161
minecraft:sneak_time,28412
minecraft:walk_under_water_one_cm,354186
minecraft:boat_one_cm,1647182
minecraft:time_since_rest,37702
minecraft:damage_taken,22357
minecraft:swim_one_cm,302852
minecraft:fly_one_cm,213102
minecraft:open_chest,633
minecraft:fish_caught,525
minecraft:fall_one_cm,230904
