,0
minecraft:iron_chestplate,11
minecraft:birch_door,2
minecraft:wheat,6
minecraft:redstone_block,13
minecraft:nether_brick_fence,2
minecraft:anvil,1
minecraft:lead,4
minecraft:diamond_sword,1
minecraft:oak_stairs,2
minecraft:potion,13
minecraft:enchanted_book,19
minecraft:gilded_blackstone,3
minecraft:nether_brick,124
minecraft:crimson_planks,4
minecraft:polished_blackstone_brick_stairs,63
minecraft:string,228
minecraft:dark_oak_trapdoor,1
minecraft:soul_soil,207
minecraft:cooked_salmon,121
minecraft:iron_leggings,8
minecraft:pufferfish,87
minecraft:shroomlight,2
minecraft:gold_nugget,598
minecraft:spruce_planks,2
minecraft:redstone_torch,1
minecraft:iron_pickaxe,3
minecraft:melon_slice,14
minecraft:coal_block,1
minecraft:iron_boots,10
minecraft:furnace,11
minecraft:dark_oak_door,4
minecraft:golden_helmet,4
minecraft:stick,80
minecraft:oak_fence,9
minecraft:torch,327
minecraft:acacia_log,6
minecraft:porkchop,19
minecraft:golden_axe,5
minecraft:diorite,392
minecraft:golden_chestplate,1
minecraft:stone_sword,3
minecraft:rotten_flesh,102
minecraft:tropical_fish,12
minecraft:polished_basalt,149
minecraft:glowstone,7
minecraft:blaze_rod,8
minecraft:blackstone_stairs,1
minecraft:obsidian,51
minecraft:cod,354
minecraft:cobblestone,6838
minecraft:nautilus_shell,3
minecraft:birch_log,74
minecraft:enchanting_table,1
minecraft:magma_block,1
minecraft:feather,9
minecraft:magma_cream,1
minecraft:birch_slab,72
minecraft:andesite,295
minecraft:dark_oak_boat,7
minecraft:golden_leggings,1
minecraft:potato,1
minecraft:flint,38
minecraft:lapis_lazuli,362
minecraft:dirt,838
minecraft:lantern,10
minecraft:name_tag,5
minecraft:leather_boots,7
minecraft:glass,10
minecraft:bone,101
minecraft:chipped_anvil,1
minecraft:bow,19
minecraft:wheat_seeds,45
minecraft:rabbit,1
minecraft:glowstone_dust,48
minecraft:oak_planks,172
minecraft:chiseled_polished_blackstone,4
minecraft:warped_wart_block,1
minecraft:sand,201
minecraft:ink_sac,48
minecraft:grass_block,2
minecraft:spectral_arrow,164
minecraft:dark_oak_log,3
minecraft:iron_hoe,3
minecraft:sugar,4
minecraft:diamond,47
minecraft:slime_block,5
minecraft:cracked_polished_blackstone_bricks,53
minecraft:crossbow,6
minecraft:granite,270
minecraft:oak_sapling,62
minecraft:netherrack,1643
minecraft:crimson_roots,2
minecraft:diamond_pickaxe,9
minecraft:fishing_rod,16
minecraft:crafting_table,9
minecraft:splash_potion,1
minecraft:chicken,6
minecraft:leather_leggings,3
minecraft:iron_axe,16
minecraft:flint_and_steel,10
minecraft:iron_shovel,7
minecraft:blackstone,1248
minecraft:blue_orchid,3
minecraft:beef,50
minecraft:oak_boat,8
minecraft:iron_nugget,41
minecraft:poppy,4
minecraft:sugar_cane,172
minecraft:chest,1
minecraft:birch_sapling,9
minecraft:egg,11
minecraft:dark_oak_sapling,1
minecraft:sandstone,5
minecraft:oak_door,4
minecraft:bowl,6
minecraft:fire_charge,16
minecraft:polished_blackstone_bricks,732
minecraft:carrot,1
minecraft:redstone,750
minecraft:dark_oak_planks,4
minecraft:arrow,234
minecraft:weeping_vines,3
minecraft:stone_shovel,2
minecraft:cooked_cod,413
minecraft:peony,2
minecraft:nether_bricks,320
minecraft:saddle,5
minecraft:gold_ingot,82
minecraft:polished_blackstone,104
minecraft:mutton,11
minecraft:bone_block,1
minecraft:white_wool,8
minecraft:stripped_oak_log,2
minecraft:basalt,379
minecraft:golden_carrot,42
minecraft:tripwire_hook,3
minecraft:crimson_stem,6
minecraft:salmon,174
minecraft:leather,57
minecraft:birch_planks,10
minecraft:oak_log,457
minecraft:lily_pad,36
minecraft:ancient_debris,2
minecraft:golden_boots,4
minecraft:nether_wart_block,4
minecraft:gunpowder,23
minecraft:cobblestone_stairs,25
minecraft:paper,2
minecraft:apple,1
minecraft:kelp,14
minecraft:warped_stem,24
minecraft:iron_ingot,3
minecraft:stone_pickaxe,2
minecraft:iron_ore,479
minecraft:iron_sword,6
minecraft:soul_sand,363
minecraft:oak_slab,80
minecraft:sweet_berries,144
minecraft:chiseled_stone_bricks,1
minecraft:quartz,107
minecraft:dandelion,2
minecraft:gravel,519
minecraft:white_bed,16
minecraft:gold_ore,131
minecraft:crying_obsidian,42
minecraft:spider_eye,10
minecraft:music_disc_mall,1
minecraft:slime_ball,35
minecraft:iron_helmet,4
minecraft:warped_roots,1
minecraft:black_wool,1
minecraft:warped_nylium,1
minecraft:coal,642
minecraft:sunflower,1
minecraft:ender_pearl,8
