,0
minecraft:writable_book,2
minecraft:iron_shovel,1187
minecraft:polished_blackstone,4
minecraft:polished_basalt,435
minecraft:shield,42
minecraft:chest,12
minecraft:iron_sword,780
minecraft:soul_sand,172
minecraft:mutton,6
minecraft:nether_bricks,457
minecraft:carrot,1
minecraft:obsidian,38
minecraft:glass,17
minecraft:grass_block,1
minecraft:lantern,11
minecraft:birch_sapling,2
minecraft:quartz_block,4
minecraft:golden_sword,31
minecraft:bow,99
minecraft:dark_oak_boat,8
minecraft:sweet_berries,122
minecraft:oak_sapling,20
minecraft:cooked_cod,131
minecraft:furnace,13
minecraft:egg,6
minecraft:dark_oak_sapling,1
minecraft:diorite,53
minecraft:oak_planks,210
minecraft:stone_pickaxe,753
minecraft:blackstone,3
minecraft:wooden_pickaxe,126
minecraft:sugar_cane,19
minecraft:respawn_anchor,1
minecraft:sand,44
minecraft:crossbow,37
minecraft:redstone_torch,1
minecraft:crying_obsidian,3
minecraft:melon_slice,7
minecraft:birch_slab,220
minecraft:bread,6
minecraft:gravel,24
minecraft:diamond_sword,9
minecraft:andesite,64
minecraft:birch_log,1
minecraft:oak_boat,8
minecraft:air,1
minecraft:golden_pickaxe,64
minecraft:oak_fence,68
minecraft:enchanting_table,2
minecraft:stone_sword,82
minecraft:flint_and_steel,25
minecraft:stone_shovel,24
minecraft:redstone,1
minecraft:cooked_salmon,66
minecraft:cooked_chicken,1
minecraft:netherrack,376
minecraft:oak_door,10
minecraft:torch,665
minecraft:dirt,319
minecraft:anvil,2
minecraft:granite,48
minecraft:shroomlight,1
minecraft:birch_door,1
minecraft:iron_hoe,9
minecraft:dark_oak_planks,4
minecraft:chipped_anvil,1
minecraft:bookshelf,2
minecraft:iron_axe,888
minecraft:oak_stairs,18
minecraft:slime_block,6
minecraft:polished_blackstone_brick_stairs,277
minecraft:glowstone,16
minecraft:golden_carrot,6
minecraft:basalt,1
minecraft:soul_soil,156
minecraft:cooked_beef,2
minecraft:golden_axe,49
minecraft:wheat_seeds,14
minecraft:cooked_mutton,2
minecraft:iron_ore,1
minecraft:cobblestone_stairs,68
minecraft:rabbit,1
minecraft:birch_planks,5
minecraft:birch_boat,1
minecraft:gold_ore,3
minecraft:polished_blackstone_bricks,1305
minecraft:gilded_blackstone,2
minecraft:salmon,4
minecraft:oak_slab,545
minecraft:crafting_table,19
minecraft:white_bed,11
minecraft:cod,2
minecraft:dark_oak_door,2
minecraft:smoker,1
minecraft:oak_log,147
minecraft:ender_eye,2
minecraft:diamond_pickaxe,8076
minecraft:apple,1
minecraft:sunflower,1
minecraft:cracked_polished_blackstone_bricks,1
minecraft:iron_pickaxe,4627
minecraft:stone_axe,455
minecraft:chiseled_stone_bricks,1
minecraft:fishing_rod,653
minecraft:cobblestone,1159
minecraft:potion,2
minecraft:cooked_porkchop,4
minecraft:glass_pane,8
minecraft:kelp,14
