,0
minecraft:animals_bred,157
minecraft:interact_with_crafting_table,143
minecraft:bell_ring,235
minecraft:leave_game,19
minecraft:time_since_death,39598
minecraft:sprint_one_cm,2058104
minecraft:damage_blocked_by_shield,360
minecraft:drop,1130
minecraft:talked_to_villager,590
minecraft:deaths,4
minecraft:jump,10513
minecraft:interact_with_brewingstand,3
minecraft:walk_on_water_one_cm,129626
minecraft:enchant_item,23
minecraft:interact_with_furnace,99
minecraft:traded_with_villager,1412
minecraft:interact_with_cartography_table,13
minecraft:play_one_minute,1252111
minecraft:sleep_in_bed,36
minecraft:damage_dealt,29468
minecraft:player_kills,2
minecraft:crouch_one_cm,301511
minecraft:interact_with_smoker,2
minecraft:mob_kills,257
minecraft:interact_with_anvil,15
minecraft:climb_one_cm,202198
minecraft:walk_one_cm,3970178
minecraft:sneak_time,71333
minecraft:walk_under_water_one_cm,95319
minecraft:boat_one_cm,2849
minecraft:interact_with_blast_furnace,25
minecraft:pot_flower,8
minecraft:interact_with_grindstone,1
minecraft:time_since_rest,39644
minecraft:damage_taken,7033
minecraft:minecart_one_cm,10754
minecraft:swim_one_cm,140057
minecraft:fly_one_cm,1444758
minecraft:open_chest,801
minecraft:fall_one_cm,133540
