,0
minecraft:iron_chestplate,4
minecraft:wheat,325
minecraft:chainmail_boots,1
minecraft:flower_pot,7
minecraft:diamond_sword,1
minecraft:enchanted_book,3
minecraft:brewing_stand,8
minecraft:string,8
minecraft:iron_leggings,2
minecraft:experience_bottle,24
minecraft:oak_sign,16
minecraft:diamond_leggings,1
minecraft:gold_nugget,27
minecraft:acacia_sign,1
minecraft:redstone_torch,2
minecraft:cobblestone_slab,7
minecraft:iron_pickaxe,14
minecraft:melon_slice,6262
minecraft:furnace,2
minecraft:iron_boots,2
minecraft:stick,85
minecraft:composter,13
minecraft:torch,272
minecraft:acacia_log,48
minecraft:porkchop,14
minecraft:diorite,787
minecraft:orange_bed,1
minecraft:cactus,9
minecraft:rotten_flesh,159
minecraft:bookshelf,2
minecraft:cobblestone,12707
minecraft:birch_log,53
minecraft:feather,2
minecraft:cooked_beef,80
minecraft:water_bucket,2
minecraft:andesite,517
minecraft:brown_wool,1
minecraft:potato,1
minecraft:flint,37
minecraft:lapis_lazuli,85
minecraft:dirt,2207
minecraft:polished_granite,325
minecraft:bone,65
minecraft:acacia_planks,7
minecraft:bow,7
minecraft:wheat_seeds,45
minecraft:fletching_table,1
minecraft:powered_rail,2
minecraft:oak_planks,57
minecraft:sand,10
minecraft:melon,3571
minecraft:grass_block,1
minecraft:lily_of_the_valley,2
minecraft:dark_oak_log,3
minecraft:iron_hoe,1
minecraft:diamond,10
minecraft:granite,849
minecraft:emerald,439
minecraft:bread,91
minecraft:oak_sapling,21
minecraft:netherrack,881
minecraft:diamond_pickaxe,1
minecraft:crafting_table,11
minecraft:chicken,3
minecraft:shield,13
minecraft:oak_trapdoor,3
minecraft:iron_axe,1
minecraft:iron_shovel,3
minecraft:cartography_table,2
minecraft:detector_rail,8
minecraft:beef,106
minecraft:oak_boat,1
minecraft:poppy,15
minecraft:minecart,7
minecraft:lectern,30
minecraft:sugar_cane,44
minecraft:chest,4
minecraft:birch_sapling,6
minecraft:egg,1
minecraft:carrot,4
minecraft:redstone,659
minecraft:arrow,79
minecraft:pumpkin_pie,46
minecraft:gold_ingot,10
minecraft:mutton,65
minecraft:rail,38
minecraft:white_wool,185
minecraft:cut_sandstone,3
minecraft:leather,47
minecraft:oak_log,190
minecraft:gunpowder,50
minecraft:apple,3
minecraft:iron_ingot,120
minecraft:stone_pickaxe,1
minecraft:iron_ore,106
minecraft:iron_sword,3
minecraft:music_disc_chirp,1
minecraft:book,42
minecraft:oak_slab,3
minecraft:pumpkin,216
minecraft:quartz,88
minecraft:gravel,128
minecraft:blast_furnace,1
minecraft:white_bed,7
minecraft:gold_ore,34
minecraft:spider_eye,4
minecraft:iron_helmet,2
minecraft:diamond_axe,1
minecraft:gray_wool,1
minecraft:melon_seeds,21
minecraft:coal,308
minecraft:ender_pearl,2
