,0
minecraft:iron_shovel,1717
minecraft:melon,36
minecraft:oak_sign,5
minecraft:chest,34
minecraft:shield,12
minecraft:stone,2
minecraft:iron_sword,26
minecraft:carrot,4
minecraft:obsidian,20
minecraft:furnace,7
minecraft:diorite,68
minecraft:stone_pickaxe,3
minecraft:oak_planks,45
minecraft:composter,21
minecraft:sugar_cane,1
minecraft:diamond_axe,1608
minecraft:white_wool,1
minecraft:sand,8
minecraft:blast_furnace,1
minecraft:dark_oak_log,3
minecraft:melon_slice,347
minecraft:bread,3
minecraft:lectern,34
minecraft:polished_granite,1570
minecraft:diamond_sword,75
minecraft:andesite,46
minecraft:oak_boat,1
minecraft:diorite_slab,1
minecraft:experience_bottle,90
minecraft:oak_trapdoor,136
minecraft:acacia_log,3
minecraft:flint_and_steel,2
minecraft:redstone,1
minecraft:netherrack,60
minecraft:oak_door,3
minecraft:orange_bed,1
minecraft:torch,377
minecraft:brewing_stand,8
minecraft:dirt,928
minecraft:anvil,1
minecraft:granite,44
minecraft:iron_hoe,49
minecraft:wooden_axe,62
minecraft:bookshelf,32
minecraft:iron_axe,2912
minecraft:melon_seeds,43
minecraft:minecart,6
minecraft:cooked_beef,21
minecraft:acacia_planks,3
minecraft:pumpkin,1
minecraft:cooked_mutton,4
minecraft:water_bucket,220
minecraft:cartography_table,2
minecraft:fletching_table,2
minecraft:cobblestone_slab,28
minecraft:rail,20
minecraft:oak_slab,4
minecraft:crafting_table,13
minecraft:white_bed,53
minecraft:oak_log,12
minecraft:flower_pot,7
minecraft:diamond_pickaxe,2379
minecraft:acacia_sign,11
minecraft:iron_pickaxe,12078
minecraft:stone_slab,1
minecraft:cobblestone,2924
minecraft:cooked_porkchop,4
minecraft:bucket,221
minecraft:pumpkin_pie,31
