,0
minecraft:black_dye,4
minecraft:smooth_stone,10
minecraft:oak_planks,220
minecraft:stone_shovel,2
minecraft:barrel,1
minecraft:cooked_chicken,18
minecraft:birch_slab,162
minecraft:furnace,4
minecraft:blast_furnace,1
minecraft:cobblestone_stairs,4
minecraft:stone,10
minecraft:gray_dye,8
minecraft:bone_meal,3
minecraft:cooked_mutton,11
minecraft:terracotta,57
minecraft:glass,48
minecraft:iron_boots,1
minecraft:polished_diorite,24
minecraft:iron_axe,1
minecraft:ladder,9
minecraft:birch_fence_gate,2
minecraft:stone_pickaxe,3
minecraft:chest,5
minecraft:birch_door,3
minecraft:gray_stained_glass_pane,32
minecraft:stone_hoe,1
minecraft:gray_stained_glass,40
minecraft:oak_fence,75
minecraft:birch_sign,6
minecraft:smoker,1
minecraft:cooked_beef,17
minecraft:oak_slab,12
minecraft:cooked_porkchop,19
minecraft:crafting_table,4
minecraft:acacia_slab,78
minecraft:wooden_pickaxe,1
minecraft:iron_sword,2
minecraft:cooked_salmon,10
minecraft:leather_helmet,2
minecraft:bucket,1
minecraft:birch_planks,336
minecraft:acacia_stairs,4
minecraft:stone_axe,4
minecraft:orange_dye,1
minecraft:air,0
minecraft:oak_fence_gate,5
minecraft:iron_chestplate,1
minecraft:yellow_dye,1
minecraft:white_dye,4
minecraft:birch_fence,33
minecraft:stick,244
minecraft:light_blue_dye,1
minecraft:iron_ingot,129
minecraft:birch_trapdoor,2
minecraft:iron_pickaxe,6
minecraft:oak_stairs,4
minecraft:stone_sword,3
minecraft:gold_ingot,21
minecraft:acacia_door,3
minecraft:iron_leggings,1
minecraft:light_gray_dye,3
minecraft:white_bed,1
minecraft:gray_carpet,15
minecraft:acacia_planks,152
minecraft:torch,448
minecraft:birch_stairs,44
minecraft:shears,1
minecraft:clay,57
