Type:,0
minecraft:mob_kills,155
minecraft:animals_bred,18
minecraft:interact_with_crafting_table,119
minecraft:open_barrel,1
minecraft:leave_game,14
minecraft:time_since_death,99869
minecraft:climb_one_cm,9078
minecraft:sprint_one_cm,1320461
minecraft:walk_one_cm,2564415
minecraft:drop,12
minecraft:sneak_time,7366
minecraft:deaths,2
minecraft:walk_under_water_one_cm,164136
minecraft:jump,6548
minecraft:interact_with_blast_furnace,26
minecraft:walk_on_water_one_cm,224588
minecraft:interact_with_furnace,51
minecraft:play_one_minute,577950
minecraft:sleep_in_bed,11
minecraft:time_since_rest,60555
minecraft:damage_taken,5444
minecraft:damage_dealt,21589
minecraft:swim_one_cm,185294
minecraft:fly_one_cm,520797
minecraft:open_chest,253
minecraft:crouch_one_cm,20272
minecraft:interact_with_smoker,6
minecraft:fall_one_cm,97768
