,0
minecraft:diamond_ore,1
minecraft:white_bed,3
minecraft:gray_stained_glass_pane,2
minecraft:birch_fence_gate,2
minecraft:granite,25
minecraft:acacia_log,43
minecraft:grass_block,136
minecraft:birch_slab,85
minecraft:polished_diorite,1
minecraft:spruce_leaves,2
minecraft:acacia_slab,9
minecraft:oxeye_daisy,1
minecraft:redstone_ore,16
minecraft:furnace,3
minecraft:iron_ore,131
minecraft:andesite,103
minecraft:peony,5
minecraft:azure_bluet,4
minecraft:vine,13
minecraft:rail,12
minecraft:oak_stairs,3
minecraft:pink_tulip,2
minecraft:white_tulip,2
minecraft:stone,1002
minecraft:blue_orchid,1
minecraft:birch_stairs,5
minecraft:oak_slab,11
minecraft:acacia_leaves,4
minecraft:lily_of_the_valley,3
minecraft:dandelion,2
minecraft:clay,57
minecraft:oak_fence,26
minecraft:crafting_table,7
minecraft:cornflower,1
minecraft:torch,5
minecraft:emerald_ore,5
minecraft:poppy,1
minecraft:chest,6
minecraft:rose_bush,1
minecraft:tall_grass,44
minecraft:cobblestone,1
minecraft:lapis_ore,11
minecraft:oak_planks,19
minecraft:lily_pad,24
minecraft:sugar_cane,7
minecraft:wall_torch,5
minecraft:diorite,140
minecraft:seagrass,4
minecraft:birch_planks,98
minecraft:cactus,1
minecraft:birch_log,137
minecraft:wheat,41
minecraft:birch_leaves,35
minecraft:orange_tulip,5
minecraft:birch_door,1
minecraft:grass,317
minecraft:coal_ore,267
minecraft:oak_log,55
minecraft:oak_fence_gate,1
minecraft:gravel,79
minecraft:sunflower,4
minecraft:sand,49
minecraft:dirt,64
minecraft:acacia_planks,1
minecraft:gold_ore,21
minecraft:oak_leaves,47
minecraft:birch_fence,7
minecraft:infested_stone,1
