,0
minecraft:smooth_stone,3
minecraft:oak_planks,128
minecraft:chainmail_helmet,25
minecraft:oak_sign,12
minecraft:birch_boat,3
minecraft:stone,986
minecraft:cobblestone_stairs,4
minecraft:bookshelf,13
minecraft:cooked_mutton,34
minecraft:iron_bars,48
minecraft:dark_oak_door,3
minecraft:stone_brick_slab,24
minecraft:diamond_helmet,8
minecraft:diamond_leggings,7
minecraft:iron_boots,4
minecraft:netherite_boots,1
minecraft:melon_seeds,1262
minecraft:birch_fence_gate,2
minecraft:chest,14
minecraft:netherite_helmet,1
minecraft:stone_hoe,5
minecraft:stone_bricks,760
minecraft:emerald,2941
minecraft:cooked_porkchop,7
minecraft:diamond_axe,1
minecraft:crafting_table,7
minecraft:spruce_planks,276
minecraft:jungle_boat,1
minecraft:wooden_pickaxe,2
minecraft:iron_helmet,2
minecraft:chainmail_chestplate,4
minecraft:smithing_table,1
minecraft:birch_planks,208
minecraft:pumpkin_seeds,192
minecraft:stone_brick_stairs,37
minecraft:dark_oak_slab,734
minecraft:iron_chestplate,24
minecraft:book,14
minecraft:wooden_hoe,1
minecraft:paper,216
minecraft:diamond_pickaxe,3
minecraft:shield,7
minecraft:stick,528
minecraft:iron_ingot,431
minecraft:iron_pickaxe,67
minecraft:iron_block,6
minecraft:acacia_door,3
minecraft:gold_ingot,106
minecraft:black_bed,1
minecraft:redstone_torch,4
minecraft:netherite_ingot,5
minecraft:shears,2
minecraft:oak_door,3
minecraft:redstone,24
minecraft:stone_shovel,1
minecraft:stone_brick_wall,96
minecraft:jukebox,1
minecraft:golden_chestplate,1
minecraft:experience_bottle,319
minecraft:furnace,9
minecraft:acacia_fence_gate,2
minecraft:blast_furnace,1
minecraft:dark_oak_trapdoor,48
minecraft:bone_meal,558
minecraft:dark_oak_fence,198
minecraft:netherite_leggings,1
minecraft:polished_diorite,348
minecraft:iron_axe,5
minecraft:ladder,3
minecraft:iron_hoe,6
minecraft:ender_pearl,12
minecraft:stone_pickaxe,1
minecraft:diamond_boots,4
minecraft:spruce_boat,1
minecraft:netherite_scrap,20
minecraft:dark_oak_planks,1458
minecraft:birch_sign,21
minecraft:minecart,1
minecraft:wheat,2918
minecraft:cooked_beef,19
minecraft:netherite_pickaxe,1
minecraft:dark_oak_stairs,208
minecraft:enchanting_table,1
minecraft:iron_sword,3
minecraft:bell,10
minecraft:acacia_trapdoor,4
minecraft:polished_granite,148
minecraft:bucket,3
minecraft:stone_axe,1
minecraft:glowstone,12
minecraft:enchanted_book,7
minecraft:jungle_planks,8
minecraft:air,0
minecraft:acacia_boat,3
minecraft:bread,530
minecraft:acacia_sign,3
minecraft:chainmail_boots,14
minecraft:iron_shovel,7
minecraft:iron_leggings,13
minecraft:anvil,2
minecraft:white_bed,4
minecraft:pumpkin_pie,120
minecraft:acacia_planks,112
minecraft:torch,652
minecraft:lapis_lazuli,12
minecraft:diamond_chestplate,3
