,0
minecraft:iron_sword,1
minecraft:glass_bottle,3
minecraft:cooked_porkchop,2
minecraft:dark_oak_slab,4
minecraft:rail,18
minecraft:spruce_leaves,21
minecraft:flint,3
minecraft:emerald,336
minecraft:dirt,41
minecraft:melon,198
minecraft:dark_oak_log,64
minecraft:cut_sandstone,1
minecraft:gold_nugget,14
minecraft:sand,1
minecraft:iron_pickaxe,6
minecraft:acacia_door,6
minecraft:dark_oak_planks,5
minecraft:white_wool,5
minecraft:bone,8
minecraft:blackstone,64
minecraft:compass,1
minecraft:iron_nugget,15
minecraft:cooked_chicken,2
minecraft:golden_chestplate,1
minecraft:detector_rail,8
minecraft:wheat,336
minecraft:birch_sapling,1
minecraft:rotten_flesh,53
minecraft:oak_planks,7
minecraft:white_bed,4
minecraft:poppy,1
minecraft:gunpowder,4
minecraft:melon_seeds,6
minecraft:chainmail_boots,6
minecraft:iron_ore,8
minecraft:arrow,1
minecraft:beef,2
minecraft:stone_brick_stairs,1
minecraft:quartz,58
minecraft:polished_granite,1
minecraft:netherrack,2110
minecraft:enchanted_book,1
minecraft:water_bucket,3
minecraft:iron_ingot,36
minecraft:bread,168
minecraft:stripped_spruce_log,1
minecraft:netherite_pickaxe,1
minecraft:wheat_seeds,39
minecraft:cobblestone,1395
minecraft:iron_helmet,6
minecraft:feather,1
minecraft:book,3
minecraft:apple,3
minecraft:granite,2
minecraft:dark_oak_leaves,3
minecraft:diorite,78
minecraft:melon_slice,4116
minecraft:diamond_helmet,1
minecraft:iron_axe,1
minecraft:cactus,2
minecraft:iron_shovel,1
minecraft:string,3
minecraft:lily_pad,7
minecraft:bucket,4
minecraft:acacia_planks,2
minecraft:spruce_sapling,1
minecraft:oak_trapdoor,1
minecraft:blaze_rod,6
minecraft:experience_bottle,24
minecraft:chicken,1
minecraft:oak_sign,3
minecraft:filled_map,2
minecraft:shield,3
minecraft:spruce_planks,4
minecraft:andesite,22
minecraft:spider_eye,2
minecraft:bow,2
minecraft:wooden_pickaxe,1
