,0
minecraft:dark_oak_planks,14
minecraft:spruce_planks,4
minecraft:stone_pressure_plate,1
minecraft:potted_cactus,6
minecraft:brewing_stand,4
minecraft:obsidian,37
minecraft:granite,914
minecraft:stone_brick_wall,5
minecraft:acacia_log,16
minecraft:grass_block,1165
minecraft:jungle_log,7
minecraft:soul_soil,12
minecraft:polished_diorite,62
minecraft:oak_wall_sign,4
minecraft:nether_wart,20
minecraft:weeping_vines_plant,1
minecraft:magma_block,37
minecraft:dark_oak_trapdoor,9
minecraft:iron_ore,548
minecraft:fire,19
minecraft:pumpkin,1299
minecraft:dark_oak_stairs,16
minecraft:oak_sign,1
minecraft:iron_bars,9
minecraft:birch_wall_sign,6
minecraft:orange_bed,1
minecraft:cut_sandstone,11
minecraft:blackstone,526
minecraft:smoker,1
minecraft:torch,66
minecraft:blast_furnace,6
minecraft:poppy,2
minecraft:melon,11496
minecraft:chest,10
minecraft:nether_quartz_ore,927
minecraft:cobblestone,509
minecraft:oak_planks,17
minecraft:grindstone,5
minecraft:sugar_cane,416
minecraft:wall_torch,21
minecraft:blue_terracotta,1
minecraft:powered_rail,6
minecraft:dark_oak_slab,49
minecraft:dark_oak_door,2
minecraft:birch_log,54
minecraft:wheat,762
minecraft:lilac,1
minecraft:jukebox,2
minecraft:tnt,8
minecraft:black_bed,1
minecraft:stone_brick_stairs,7
minecraft:grass,1288
minecraft:oak_log,213
minecraft:sand,23
minecraft:dirt,590
minecraft:acacia_sign,1
minecraft:ancient_debris,20
minecraft:stonecutter,1
minecraft:netherrack,16881
minecraft:oak_leaves,126
minecraft:nether_gold_ore,117
minecraft:diamond_ore,83
minecraft:mossy_cobblestone,1
minecraft:dark_oak_leaves,4
minecraft:oak_door,1
minecraft:dark_oak_log,695
minecraft:nether_bricks,23
minecraft:dark_oak_fence,3
minecraft:ladder,78
minecraft:crimson_roots,3
minecraft:spruce_leaves,158
minecraft:red_mushroom,1
minecraft:sandstone,12
minecraft:large_fern,1
minecraft:hay_block,333
minecraft:redstone_ore,140
minecraft:furnace,8
minecraft:chiseled_sandstone,1
minecraft:acacia_wood,2
minecraft:andesite,844
minecraft:stripped_spruce_log,1
minecraft:bell,15
minecraft:bookshelf,13
minecraft:rail,237
minecraft:stone,14750
minecraft:bone_block,42
minecraft:orange_glazed_terracotta,2
minecraft:glass_pane,1
minecraft:soul_sand,11
minecraft:stone_brick_slab,10
minecraft:dandelion,1
minecraft:polished_granite,44
minecraft:oak_fence,1
minecraft:crafting_table,34
minecraft:campfire,1
minecraft:tall_grass,85
minecraft:lapis_ore,9
minecraft:diorite,600
minecraft:cactus,1
minecraft:coarse_dirt,3
minecraft:acacia_fence_gate,1
minecraft:redstone_torch,5
minecraft:birch_leaves,10
minecraft:spruce_log,70
minecraft:bee_nest,1
minecraft:coal_ore,336
minecraft:cocoa,2
minecraft:gravel,577
minecraft:cobweb,12
minecraft:acacia_planks,10
minecraft:birch_sign,6
minecraft:stone_bricks,88
minecraft:gold_ore,24
minecraft:fern,1
