,0
minecraft:iron_shovel,1875
minecraft:melon,90
minecraft:ladder,81
minecraft:poppy,4
minecraft:oak_sign,16
minecraft:shield,72
minecraft:chest,27
minecraft:iron_sword,230
minecraft:bell,14
minecraft:spruce_leaves,82
minecraft:soul_sand,1
minecraft:nether_bricks,25
minecraft:spruce_boat,11
minecraft:lava_bucket,1
minecraft:dark_oak_slab,482
minecraft:stone_brick_stairs,38
minecraft:stone_bricks,533
minecraft:magma_block,2
minecraft:bow,1
minecraft:furnace,16
minecraft:egg,11
minecraft:diorite,58
minecraft:dark_oak_stairs,171
minecraft:stone_pickaxe,131
minecraft:acacia_trapdoor,1
minecraft:powered_rail,10
minecraft:oak_planks,7
minecraft:sandstone,11
minecraft:wooden_pickaxe,60
minecraft:sugar_cane,108
minecraft:diamond_axe,13658
minecraft:jungle_boat,3
minecraft:dark_oak_trapdoor,33
minecraft:sand,2
minecraft:blast_furnace,7
minecraft:stone_brick_wall,71
minecraft:black_bed,2
minecraft:shears,146
minecraft:pumpkin_seeds,192
minecraft:redstone_torch,9
minecraft:melon_slice,230
minecraft:acacia_door,1
minecraft:birch_fence_gate,2
minecraft:dark_oak_log,126
minecraft:bread,387
minecraft:lectern,1
minecraft:polished_granite,271
minecraft:gravel,158
minecraft:andesite,75
minecraft:grindstone,5
minecraft:dark_oak_fence,102
minecraft:smithing_table,1
minecraft:golden_pickaxe,136
minecraft:bone_meal,558
minecraft:experience_bottle,295
minecraft:iron_bars,42
minecraft:enchanting_table,1
minecraft:stone_shovel,131
minecraft:spruce_planks,204
minecraft:stone_hoe,406
minecraft:netherrack,449
minecraft:orange_bed,1
minecraft:oak_door,2
minecraft:anvil,2
minecraft:torch,670
minecraft:brewing_stand,3
minecraft:dirt,2189
minecraft:granite,28
minecraft:polished_diorite,362
minecraft:iron_hoe,1445
minecraft:stone_brick_slab,29
minecraft:dark_oak_planks,314
minecraft:bookshelf,13
minecraft:iron_axe,828
minecraft:melon_seeds,933
minecraft:netherite_pickaxe,11077
minecraft:minecart,8
minecraft:cooked_beef,20
minecraft:pumpkin,7
minecraft:acacia_planks,12
minecraft:wheat_seeds,1222
minecraft:cooked_mutton,27
minecraft:water_bucket,730
minecraft:acacia_boat,33
minecraft:cobblestone_stairs,4
minecraft:birch_boat,10
minecraft:stonecutter,1
minecraft:rail,305
minecraft:music_disc_cat,2
minecraft:crafting_table,38
minecraft:birch_sign,35
minecraft:spruce_log,1
minecraft:dark_oak_door,2
minecraft:smoker,1
minecraft:wooden_hoe,36
minecraft:flower_pot,6
minecraft:diamond_pickaxe,6223
minecraft:acacia_sign,5
minecraft:iron_pickaxe,20397
minecraft:acacia_fence_gate,3
minecraft:stone_axe,7
minecraft:cobblestone,1347
minecraft:cooked_porkchop,11
minecraft:bucket,733
minecraft:pumpkin_pie,126
minecraft:jukebox,3
