,0
minecraft:mob_kills,53
minecraft:interact_with_crafting_table,73
minecraft:leave_game,15
minecraft:time_since_death,6614
minecraft:climb_one_cm,8602
minecraft:sprint_one_cm,279084
minecraft:walk_one_cm,2952223
minecraft:drop,21
minecraft:deaths,4
minecraft:sneak_time,27
minecraft:walk_under_water_one_cm,81209
minecraft:jump,5117
minecraft:walk_on_water_one_cm,197965
minecraft:interact_with_furnace,100
minecraft:play_one_minute,1125681
minecraft:sleep_in_bed,35
minecraft:time_since_rest,6405
minecraft:damage_taken,3980
minecraft:damage_dealt,5397
minecraft:fly_one_cm,53341
minecraft:open_chest,215
minecraft:interact_with_smoker,1
minecraft:fall_one_cm,37858
minecraft:horse_one_cm,7609
