,0
minecraft:wooden_axe,2
minecraft:fishing_rod,1
minecraft:crafting_table,1
minecraft:iron_chestplate,2
minecraft:chicken,19
minecraft:ladder,9
minecraft:clay_ball,4
minecraft:diamond_sword,1
minecraft:wooden_pickaxe,1
minecraft:oak_stairs,62
minecraft:cornflower,1
minecraft:string,11
minecraft:oak_trapdoor,7
minecraft:iron_axe,3
minecraft:wooden_sword,1
minecraft:iron_leggings,2
minecraft:iron_shovel,1
minecraft:bucket,1
minecraft:beef,28
minecraft:wooden_shovel,2
minecraft:iron_pickaxe,8
minecraft:chest,3
minecraft:birch_sapling,6
minecraft:furnace,1
minecraft:egg,14
minecraft:dark_oak_sapling,2
minecraft:stick,97
minecraft:oak_door,6
minecraft:oak_fence,6
minecraft:torch,142
minecraft:porkchop,13
minecraft:diorite,82
minecraft:carrot,6
minecraft:redstone,14
minecraft:arrow,7
minecraft:rotten_flesh,14
minecraft:stone_shovel,1
minecraft:gold_ingot,30
minecraft:mutton,10
minecraft:rail,5
minecraft:white_wool,42
minecraft:cobblestone,1288
minecraft:stripped_oak_log,2
minecraft:birch_log,255
minecraft:feather,17
minecraft:cooked_beef,14
minecraft:tripwire_hook,1
minecraft:andesite,70
minecraft:leather,13
minecraft:red_mushroom,16
minecraft:birch_planks,234
minecraft:oak_log,223
minecraft:stripped_birch_log,2
minecraft:wooden_hoe,2
minecraft:dirt,1034
minecraft:white_banner,1
minecraft:name_tag,1
minecraft:cooked_mutton,10
minecraft:bone,11
minecraft:apple,13
minecraft:wheat_seeds,2
minecraft:stone_pickaxe,3
minecraft:iron_ingot,62
minecraft:cooked_chicken,8
minecraft:iron_ore,204
minecraft:iron_sword,4
minecraft:oak_planks,751
minecraft:cooked_porkchop,8
minecraft:pumpkin,3
minecraft:gravel,10
minecraft:sand,319
minecraft:spruce_sapling,2
minecraft:white_bed,4
minecraft:spruce_log,21
minecraft:gold_ore,28
minecraft:dark_oak_log,52
minecraft:spider_eye,1
minecraft:diamond,2
minecraft:stone_axe,1
minecraft:iron_helmet,1
minecraft:crossbow,1
minecraft:granite,100
minecraft:grass,3
minecraft:gray_wool,1
minecraft:oak_sapling,37
minecraft:black_wool,1
minecraft:coal,729
minecraft:ender_pearl,1
