,0
minecraft:oak_trapdoor,7
minecraft:stone_sword,6
minecraft:iron_shovel,330
minecraft:stone_shovel,131
minecraft:ladder,11
minecraft:chest,6
minecraft:iron_sword,119
minecraft:wooden_shovel,52
minecraft:cooked_chicken,8
minecraft:oak_door,9
minecraft:torch,318
minecraft:dirt,363
minecraft:birch_door,2
minecraft:glass,224
minecraft:wooden_axe,55
minecraft:iron_axe,515
minecraft:oak_stairs,270
minecraft:birch_sapling,1
minecraft:melon_seeds,2
minecraft:furnace,2
minecraft:cooked_beef,12
minecraft:pumpkin,3
minecraft:cooked_mutton,7
minecraft:water_bucket,27
minecraft:diorite,1
minecraft:birch_planks,440
minecraft:stone_pickaxe,1051
minecraft:oak_planks,25
minecraft:wooden_pickaxe,58
minecraft:crafting_table,2
minecraft:white_bed,6
minecraft:shears,3
minecraft:oak_log,1
minecraft:wooden_hoe,6
minecraft:apple,2
minecraft:iron_pickaxe,1366
minecraft:stone_axe,129
minecraft:diamond_sword,87
minecraft:wooden_sword,5
minecraft:cobblestone,217
minecraft:cooked_porkchop,11
minecraft:bucket,27
minecraft:birch_log,29
