,0
minecraft:black_dye,3
minecraft:wooden_sword,1
minecraft:oak_door,3
minecraft:oak_planks,212
minecraft:fishing_rod,1
minecraft:oak_pressure_plate,2
minecraft:cooked_chicken,5
minecraft:furnace,2
minecraft:cobblestone_stairs,72
minecraft:stone,13
minecraft:stone_pickaxe,1
minecraft:chest,4
minecraft:magenta_dye,6
minecraft:birch_sign,3
minecraft:cooked_beef,4
minecraft:sugar,11
minecraft:cooked_cod,47
minecraft:crossbow,1
minecraft:cooked_porkchop,2
minecraft:crafting_table,3
minecraft:wooden_pickaxe,1
minecraft:iron_helmet,1
minecraft:iron_sword,1
minecraft:bowl,4
minecraft:cooked_salmon,17
minecraft:bucket,1
minecraft:birch_planks,64
minecraft:pumpkin_seeds,4
minecraft:stone_axe,1
minecraft:air,0
minecraft:bread,3
minecraft:oak_boat,2
minecraft:wooden_hoe,1
minecraft:charcoal,21
minecraft:stick,16
minecraft:light_blue_dye,1
minecraft:iron_ingot,28
minecraft:iron_pickaxe,1
minecraft:gold_ingot,9
minecraft:pumpkin_pie,10
minecraft:torch,36
minecraft:beetroot_soup,2
