Type:,0
minecraft:mob_kills,21
minecraft:interact_with_anvil,1
minecraft:interact_with_crafting_table,45
minecraft:open_barrel,26
minecraft:leave_game,15
minecraft:time_since_death,393721
minecraft:climb_one_cm,5832
minecraft:sprint_one_cm,333965
minecraft:walk_one_cm,816014
minecraft:drop,35
minecraft:sneak_time,5758
minecraft:walk_under_water_one_cm,17329
minecraft:boat_one_cm,23472
minecraft:jump,1923
minecraft:walk_on_water_one_cm,88092
minecraft:interact_with_furnace,41
minecraft:play_one_minute,393721
minecraft:pot_flower,12
minecraft:sleep_in_bed,20
minecraft:time_since_rest,22347
minecraft:damage_taken,2075
minecraft:damage_dealt,2992
minecraft:fly_one_cm,106865
minecraft:open_chest,77
minecraft:crouch_one_cm,338
minecraft:fish_caught,94
minecraft:fall_one_cm,17317
minecraft:horse_one_cm,519
