,0
minecraft:writable_book,1
minecraft:chest,4
minecraft:iron_sword,136
minecraft:cooked_salmon,1
minecraft:cooked_chicken,2
minecraft:oak_door,3
minecraft:orange_bed,2
minecraft:torch,32
minecraft:dirt,23
minecraft:granite,4
minecraft:sweet_berries,7
minecraft:furnace,2
minecraft:cooked_cod,15
minecraft:beetroot_seeds,46
minecraft:wheat_seeds,61
minecraft:water_bucket,17
minecraft:cobblestone_stairs,71
minecraft:stone_pickaxe,97
minecraft:baked_potato,14
minecraft:oak_planks,107
minecraft:wooden_pickaxe,55
minecraft:crafting_table,3
minecraft:birch_sign,4
minecraft:crossbow,2
minecraft:cod,1
minecraft:pumpkin_seeds,5
minecraft:oak_log,6
minecraft:wooden_hoe,45
minecraft:flower_pot,4
minecraft:iron_pickaxe,248
minecraft:bread,3
minecraft:oak_pressure_plate,2
minecraft:stone_axe,126
minecraft:fishing_rod,144
minecraft:wooden_sword,42
minecraft:cobblestone,107
minecraft:cooked_porkchop,5
minecraft:bucket,18
minecraft:pumpkin_pie,6
minecraft:oak_boat,2
