,0
minecraft:ender_chest,1
minecraft:black_dye,15
minecraft:yellow_wool,2
minecraft:oak_sign,3
minecraft:orange_carpet,3
minecraft:blaze_powder,4
minecraft:pink_bed,1
minecraft:dark_oak_wood,3
minecraft:birch_boat,1
minecraft:diamond_shovel,8
minecraft:gray_wool,2
minecraft:bookshelf,64
minecraft:cracked_stone_bricks,118
minecraft:cooked_mutton,18
minecraft:iron_bars,16
minecraft:quartz_block,337
minecraft:glass,260
minecraft:diamond_helmet,3
minecraft:diamond_leggings,2
minecraft:netherite_boots,1
minecraft:polished_blackstone,96
minecraft:black_wool,2
minecraft:magenta_dye,12
minecraft:flower_pot,2
minecraft:glass_bottle,54
minecraft:emerald,1
minecraft:cooked_porkchop,47
minecraft:diamond_axe,7
minecraft:spruce_door,3
minecraft:smithing_table,1
minecraft:hay_block,16
minecraft:oak_wood,3
minecraft:campfire,3
minecraft:light_gray_bed,3
minecraft:stone_brick_stairs,48
minecraft:wooden_hoe,2
minecraft:golden_leggings,3
minecraft:iron_pickaxe,26
minecraft:iron_block,6
minecraft:gold_ingot,574
minecraft:sandstone,378
minecraft:light_gray_dye,6
minecraft:netherite_ingot,8
minecraft:composter,1
minecraft:spruce_fence_gate,87
minecraft:polished_blackstone_bricks,96
minecraft:cyan_wool,2
minecraft:golden_carrot,35
minecraft:magenta_wool,5
minecraft:stone_shovel,1
minecraft:iron_nugget,360
minecraft:diamond_hoe,1
minecraft:brick_stairs,388
minecraft:crimson_fence_gate,2
minecraft:light_gray_wool,2
minecraft:bone_meal,612
minecraft:spruce_fence,21
minecraft:pink_dye,9
minecraft:white_carpet,6
minecraft:orange_wool,2
minecraft:lantern,44
minecraft:netherite_axe,1
minecraft:spruce_stairs,312
minecraft:polished_diorite,132
minecraft:ladder,15
minecraft:spruce_slab,264
minecraft:stone_pickaxe,2
minecraft:diamond_boots,3
minecraft:quartz_slab,12
minecraft:redstone_block,109
minecraft:purple_carpet,3
minecraft:dark_oak_planks,840
minecraft:brick_slab,54
minecraft:golden_helmet,1
minecraft:wheat,27
minecraft:coal_block,184
minecraft:crossbow,1
minecraft:netherite_pickaxe,1
minecraft:enchanting_table,1
minecraft:light_blue_wool,3
minecraft:red_bed,1
minecraft:red_carpet,3
minecraft:glowstone,50
minecraft:orange_dye,5
minecraft:light_blue_carpet,3
minecraft:warped_fungus_on_a_stick,3
minecraft:wooden_axe,3
minecraft:crimson_fence,87
minecraft:black_stained_glass_pane,160
minecraft:iron_shovel,6
minecraft:iron_leggings,6
minecraft:white_bed,200
minecraft:lime_wool,2
minecraft:blue_carpet,3
minecraft:brick,3048
minecraft:oak_planks,1020
minecraft:cobblestone_slab,6
minecraft:barrel,106
minecraft:birch_wood,3
minecraft:crimson_sign,3
minecraft:cooked_chicken,247
minecraft:cobblestone_stairs,28
minecraft:stone,983
minecraft:pink_carpet,3
minecraft:green_dye,18
minecraft:brown_carpet,3
minecraft:dark_oak_door,3
minecraft:cake,6
minecraft:stone_brick_slab,96
minecraft:bow,9
minecraft:iron_boots,5
minecraft:chest,25
minecraft:netherite_helmet,1
minecraft:bricks,748
minecraft:stone_hoe,1
minecraft:ender_eye,1
minecraft:stone_bricks,984
minecraft:oak_fence,219
minecraft:granite_stairs,220
minecraft:golden_boots,3
minecraft:smoker,1
minecraft:quartz_stairs,44
minecraft:arrow,360
minecraft:cauldron,2
minecraft:crafting_table,13
minecraft:spruce_planks,2972
minecraft:baked_potato,2515
minecraft:iron_helmet,9
minecraft:wooden_pickaxe,3
minecraft:brown_dye,8
minecraft:red_wool,5
minecraft:birch_planks,256
minecraft:brewing_stand,1
minecraft:tnt,16
minecraft:spruce_trapdoor,98
minecraft:purple_dye,4
minecraft:charcoal,26
minecraft:dark_oak_slab,168
minecraft:diamond_pickaxe,8
minecraft:iron_chestplate,10
minecraft:book,136
minecraft:paper,408
minecraft:pink_wool,2
minecraft:yellow_dye,14
minecraft:shield,7
minecraft:stick,974
minecraft:light_blue_dye,4
minecraft:iron_ingot,1057
minecraft:lime_carpet,3
minecraft:gray_carpet,3
minecraft:cyan_carpet,3
minecraft:light_gray_carpet,3
minecraft:shears,5
minecraft:polished_andesite,128
minecraft:oak_door,3
minecraft:purple_wool,3
minecraft:cookie,152
minecraft:redstone,4
minecraft:coal,1616
minecraft:fishing_rod,3
minecraft:stone_brick_wall,78
