,0
minecraft:interact_with_crafting_table,740
minecraft:open_barrel,458
minecraft:leave_game,53
minecraft:time_since_death,1604937
minecraft:damage_blocked_by_shield,8800
minecraft:deaths,11
minecraft:jump,65815
minecraft:enchant_item,16
minecraft:interact_with_furnace,1564
minecraft:traded_with_villager,3
minecraft:sleep_in_bed,154
minecraft:damage_dealt,230929
minecraft:interact_with_smoker,277
minecraft:use_cauldron,3
minecraft:horse_one_cm,51450
minecraft:interact_with_smithing_table,6
minecraft:interact_with_anvil,33
minecraft:sneak_time,89448
minecraft:time_since_rest,6371
minecraft:swim_one_cm,611823
minecraft:fly_one_cm,14507377
minecraft:open_chest,3036
minecraft:fall_one_cm,1393982
minecraft:animals_bred,399
minecraft:sprint_one_cm,10123446
minecraft:drop,501
minecraft:talked_to_villager,27
minecraft:interact_with_brewingstand,63
minecraft:walk_on_water_one_cm,685997
minecraft:play_one_minute,4731653
minecraft:open_enderchest,30
minecraft:crouch_one_cm,194629
minecraft:mob_kills,1749
minecraft:fill_cauldron,2
minecraft:interact_with_campfire,14
minecraft:climb_one_cm,81978
minecraft:walk_one_cm,10889214
minecraft:raid_win,1
minecraft:strider_one_cm,41675
minecraft:walk_under_water_one_cm,606571
minecraft:boat_one_cm,467537
minecraft:raid_trigger,1
minecraft:pot_flower,2
minecraft:damage_taken,49618
