,0
minecraft:skeleton,245
minecraft:chicken,205
minecraft:magma_cube,50
minecraft:salmon,127
minecraft:pillager,40
minecraft:zombie,417
minecraft:cow,143
minecraft:vindicator,2
minecraft:wandering_trader,5
minecraft:ravager,1
minecraft:polar_bear,1
minecraft:enderman,2
minecraft:witch,3
minecraft:spider,164
minecraft:silverfish,9
minecraft:piglin_brute,2
minecraft:piglin,15
minecraft:pig,23
minecraft:zombie_villager,4
minecraft:strider,1
minecraft:creeper,189
minecraft:sheep,7
minecraft:trader_llama,4
minecraft:stray,11
minecraft:ghast,11
minecraft:blaze,16
minecraft:phantom,12
minecraft:drowned,18
minecraft:bat,1
minecraft:hoglin,3
minecraft:squid,3
minecraft:wither_skeleton,5
